clip_id,Nishant_valence,debjit2001_valence,pranjal123_valence,aritra_valence,sayantankuila_valence,ajaycc17_valence,avg_valence
TheFaultInOurStars_012.mp4,4,5,5,4,4,5,4.5
TheFaultInOurStars_013.mp4,4,5,5,3,3,5,4.167
TheFaultInOurStars_014.mp4,3,4,4,2,3,4,3.333
TheFaultInOurStars_015.mp4,3,4,3,3,3,5,3.5
TheFaultInOurStars_016.mp4,4,4,3,1,5,4,3.5
TheFaultInOurStars_017.mp4,3,5,5,3,5,3,4.0
TheFaultInOurStars_018.mp4,4,4,4,5,4,5,4.333
TheFaultInOurStars_019.mp4,4,4,4,5,5,5,4.5
TheFaultInOurStars_020.mp4,4,5,5,4,3,5,4.333
TheFaultInOurStars_021.mp4,3,5,5,4,4,5,4.333
TheFaultInOurStars_022.mp4,4,5,5,4,5,4,4.5
TheFaultInOurStars_023.mp4,4,4,4,4,5,5,4.333
TheFaultInOurStars_024.mp4,3,4,5,3,4,5,4.0
TheFaultInOurStars_025.mp4,4,5,5,4,4,5,4.5
TheFaultInOurStars_026.mp4,4,4,5,3,4,4,4.0
TheFaultInOurStars_027.mp4,4,5,5,4,5,5,4.667
TheFaultInOurStars_028.mp4,3,5,5,4,5,5,4.5
TheFaultInOurStars_029.mp4,4,5,5,4,4,5,4.5
TheFaultInOurStars_030.mp4,4,5,5,4,5,4,4.5
TheFaultInOurStars_031.mp4,3,4,5,3,4,5,4.0
TheFaultInOurStars_032.mp4,3,3,4,2,2,3,2.833
TheFaultInOurStars_033.mp4,2,4,5,3,4,5,3.833
TheFaultInOurStars_034.mp4,4,4,4,4,5,5,4.333
TheFaultInOurStars_035.mp4,3,5,4,4,4,5,4.167
TheFaultInOurStars_036.mp4,4,5,5,4,4,5,4.5
TheFaultInOurStars_037.mp4,4,3,5,3,3,3,3.5
TheFaultInOurStars_038.mp4,4,4,4,4,4,5,4.167
TheFaultInOurStars_039.mp4,3,5,5,4,3,5,4.167
TheFaultInOurStars_040.mp4,4,5,5,5,5,5,4.833
TheFaultInOurStars_041.mp4,3,5,5,5,5,5,4.667
TheFaultInOurStars_042.mp4,4,4,5,2,4,4,3.833
TheFaultInOurStars_043.mp4,3,5,5,5,4,5,4.5
TheFaultInOurStars_044.mp4,3,5,5,3,4,5,4.167
TheFaultInOurStars_045.mp4,4,4,5,5,4,4,4.333
TheFaultInOurStars_046.mp4,3,5,5,3,4,5,4.167
TheFaultInOurStars_048.mp4,3,4,5,5,5,5,4.5
TheFaultInOurStars_049.mp4,4,5,5,4,4,5,4.5
TheFaultInOurStars_050.mp4,4,5,5,5,5,4,4.667
TheFaultInOurStars_051.mp4,3,5,4,4,4,5,4.167
TheFaultInOurStars_052.mp4,4,3,4,2,3,3,3.167
TheFaultInOurStars_053.mp4,4,5,5,5,4,5,4.667
TheFaultInOurStars_054.mp4,4,5,5,4,4,5,4.5
TheFaultInOurStars_055.mp4,4,4,5,5,5,4,4.5
TheFaultInOurStars_056.mp4,3,5,5,4,5,5,4.5
TheFaultInOurStars_057.mp4,4,4,5,4,4,4,4.167
TheFaultInOurStars_058.mp4,4,4,5,3,5,4,4.167
TheFaultInOurStars_059.mp4,4,4,4,2,3,5,3.667
TheFaultInOurStars_060.mp4,3,3,3,1,3,1,2.333
TheFaultInOurStars_061.mp4,4,2,3,2,1,1,2.167
TheFaultInOurStars_062.mp4,3,4,3,3,1,3,2.833
TheFaultInOurStars_063.mp4,3,3,4,4,5,3,3.667
TheFaultInOurStars_064.mp4,5,4,5,4,4,4,4.333
TheFaultInOurStars_065.mp4,3,5,5,2,5,5,4.167
TheFaultInOurStars_066.mp4,3,4,5,4,4,3,3.833
TheFaultInOurStars_067.mp4,4,4,5,4,5,5,4.5
TheFaultInOurStars_068.mp4,4,5,5,2,5,5,4.333
TheFaultInOurStars_069.mp4,4,4,3,3,2,4,3.333
TheFaultInOurStars_070.mp4,3,3,4,2,2,2,2.667
TheFaultInOurStars_071.mp4,3,3,4,2,2,3,2.833
TheFaultInOurStars_072.mp4,4,5,5,3,2,4,3.833
TheFaultInOurStars_073.mp4,4,5,5,3,4,5,4.333
TheFaultInOurStars_074.mp4,3,4,4,2,4,2,3.167
TheFaultInOurStars_075.mp4,4,4,4,4,3,5,4.0
TheFaultInOurStars_076.mp4,4,3,4,5,5,4,4.167
TheFaultInOurStars_077.mp4,4,4,2,2,1,2,2.5
TheSpectacularNow_023.mp4,3,3,4,2,4,3,3.167
TheSpectacularNow_068.mp4,3,3,4,2,2,2,2.667
TheTheoryOfEverything_001.mp4,4,4,5,3,4,4,4.0
TheTheoryOfEverything_003.mp4,3,3,5,3,4,2,3.333
TheTheoryOfEverything_005.mp4,3,4,5,3,4,4,3.833
TheTheoryOfEverything_009.mp4,3,5,5,3,5,5,4.333
TheTheoryOfEverything_012.mp4,4,5,5,4,5,5,4.667
TheTheoryOfEverything_016.mp4,3,4,5,5,5,5,4.5
TheTheoryOfEverything_018.mp4,3,3,3,2,2,2,2.5
TheTheoryOfEverything_021.mp4,4,2,3,2,3,2,2.667
TheTheoryOfEverything_022.mp4,4,4,4,5,4,4,4.167
TheTheoryOfEverything_026.mp4,4,4,3,2,4,3,3.333
TheTheoryOfEverything_030.mp4,3,4,4,4,5,4,4.0
TheTheoryOfEverything_031.mp4,3,3,4,2,2,2,2.667
TheTheoryOfEverything_034.mp4,3,4,5,2,5,2,3.5
TheTheoryOfEverything_037.mp4,3,3,4,4,3,3,3.333
TheTheoryOfEverything_038.mp4,4,3,4,3,5,2,3.5
TheTheoryOfEverything_039.mp4,3,3,2,2,2,1,2.167
TheTheoryOfEverything_040.mp4,3,5,5,3,4,5,4.167
TheTheoryOfEverything_041.mp4,3,3,4,2,3,1,2.667
TheTheoryOfEverything_042.mp4,3,3,4,2,1,2,2.5
TheTheoryOfEverything_043.mp4,4,3,3,1,2,1,2.333
TheTheoryOfEverything_048.mp4,4,3,3,3,4,4,3.5
TheTheoryOfEverything_051.mp4,3,2,4,1,3,5,3.0
TheTheoryOfEverything_054.mp4,4,4,5,2,5,4,4.0
TheTheoryOfEverything_057.mp4,3,5,4,3,5,4,4.0
Wonder_120.mp4,3,5,4,4,4,5,4.167
