participant,clip_title,timestamp,avg_bpm,bpm_drift,max_bpm,hr_sequence,self_reported_valence,self_reported_arousal
pranjal123,AboutTime_018.mp4,2025-10-29 11:31:47.046,74.9,4,82,"[76, 75, 74, 73, 72, 71, 72, 70, 69, 69, 68, 71, 75, 80, 79, 82, 81, 80, 81, 80]",5,3
aritra,AboutTime_018.mp4,2025-11-06 10:41:34.897,74.28,0,82,"[71, 71, 70, 70, 71, 72, 74, 79, 81, 82, 82, 81, 78, 75, 70, 69, 70, 71]",3,3
sayantankuila,AboutTime_018.mp4,2025-11-20 08:10:23.987,78.0,1,85,"[77, 77, 76, 75, 74, 73, 75, 77, 79, 84, 85, 82, 80, 78]",3,3
ajaycc17,AboutTime_018.mp4,2025-12-09 14:01:35.971,103.17,-6,109,"[105, 106, 108, 109, 108, 102, 106, 104, 102, 98, 100, 101, 102, 101, 104, 101, 101, 99]",5,4
Nishant,AboutTime_019.mp4,2025-10-17 08:30:02.853,81.24,-1,83,"[81, 79, 81, 82, 82, 82, 83, 82, 81, 81, 82, 83, 83, 82, 79, 78, 80]",4,3
debjit2001,AboutTime_019.mp4,2025-10-23 14:48:55.411,66.41,6,73,"[67, 64, 63, 64, 65, 64, 65, 63, 64, 66, 69, 67, 66, 68, 70, 71, 73]",4,2
aritra,AboutTime_019.mp4,2025-11-06 10:45:47.996,76.24,3,83,"[73, 78, 77, 79, 80, 78, 77, 76, 74, 72, 73, 75, 73, 72, 69, 76, 83, 81, 81, 78, 76]",3,2
sayantankuila,AboutTime_019.mp4,2025-11-21 13:41:58.158,97.59,-7,101,"[101, 99, 98, 96, 96, 97, 99, 98, 97, 97, 96, 98, 98, 97, 100, 98, 94]",5,5
ajaycc17,AboutTime_019.mp4,2025-12-09 14:26:53.478,96.84,-4,103,"[102, 103, 99, 96, 98, 97, 96, 95, 94, 92, 93, 95, 96, 98, 96, 97, 98, 97, 98]",4,3
Nishant,AboutTime_020.mp4,2025-10-17 09:11:25.726,87.5,13,95,"[82, 83, 84, 85, 86, 87, 88, 89, 89, 90, 85, 87, 85, 85, 88, 89, 90, 91, 92, 95]",4,4
debjit2001,AboutTime_020.mp4,2025-10-23 14:54:49.299,72.41,1,75,"[73, 72, 73, 72, 71, 70, 72, 73, 75, 73, 74, 75, 72, 72, 71, 69, 74]",3,2
pranjal123,AboutTime_020.mp4,2025-10-29 11:44:07.280,75.35,1,79,"[75, 77, 78, 79, 77, 76, 74, 75, 74, 74, 73, 73, 74, 74, 76, 76, 76]",3,4
aritra,AboutTime_020.mp4,2025-11-06 09:00:00.848,76.56,-7,82,"[78, 80, 82, 81, 78, 77, 76, 76, 74, 75, 75, 75, 76, 79, 77, 74, 74, 71]",1,1
ajaycc17,AboutTime_020.mp4,2025-11-16 13:27:24.572,82.7,-5,89,"[88, 89, 88, 87, 86, 87, 84, 84, 82, 81, 79, 78, 77, 78, 79, 79, 80, 82, 83, 83]",4,4
sayantankuila,AboutTime_020.mp4,2025-11-21 13:14:14.445,90.05,-5,96,"[93, 96, 94, 93, 91, 90, 88, 87, 88, 89, 88, 89, 91, 93, 90, 88, 88, 88, 89, 88]",4,5
debjit2001,AboutTime_021.mp4,2025-10-15 16:36:39.131,72.38,2,84,"[68, 69, 69, 72, 78, 84, 82, 73, 72, 70, 70, 70, 71, 73, 72, 73, 71, 69, 71, 73, 70]",3,3
aritra,AboutTime_021.mp4,2025-11-06 08:51:04.732,76.77,-4,82,"[79, 79, 76, 77, 82, 81, 78, 76, 77, 78, 76, 75, 75, 75, 76, 77, 77, 75, 74, 75, 76, 75]",2,1
sayantankuila,AboutTime_021.mp4,2025-11-21 12:50:14.810,93.25,-2,100,"[91, 91, 91, 90, 91, 92, 91, 90, 95, 97, 98, 100, 99, 98, 97, 95, 89, 90, 91, 89]",3,3
ajaycc17,AboutTime_021.mp4,2025-12-09 13:00:39.658,104.06,5,107,"[100, 101, 105, 105, 104, 106, 106, 107, 107, 105, 103, 105, 103, 102, 102, 103, 105]",3,1
Nishant,AboutTime_022.mp4,2025-10-17 08:35:23.796,82.44,0,85,"[83, 84, 85, 84, 84, 85, 83, 82, 82, 82, 79, 80, 81, 80, 82, 83]",5,4
debjit2001,AboutTime_022.mp4,2025-10-23 14:41:18.867,64.67,4,68,"[64, 62, 62, 64, 67, 65, 64, 65, 67, 66, 63, 65, 64, 64, 64, 64, 66, 68]",4,3
aritra,AboutTime_022.mp4,2025-10-28 13:53:37.727,61.0,2,62,"[60, 61, 62]",5,2
sayantankuila,AboutTime_022.mp4,2025-11-21 12:28:39.526,92.69,-1,95,"[95, 94, 95, 93, 88, 86, 87, 90, 95, 95, 95, 95, 94, 93, 94, 94]",5,5
ajaycc17,AboutTime_022.mp4,2025-12-25 12:16:15.642,96.17,0,100,"[96, 95, 94, 95, 96, 96, 96, 97, 98, 97, 98, 100, 99, 94, 93, 96, 95, 96]",5,3
debjit2001,AboutTime_024.mp4,2025-10-23 15:30:59.169,69.1,3,76,"[66, 63, 62, 64, 68, 73, 74, 76, 68, 69, 70, 67, 65, 68, 69, 70, 73, 71, 74, 72, 69]",3,3
pranjal123,AboutTime_024.mp4,2025-10-29 11:35:31.609,75.47,4,80,"[75, 77, 76, 74, 73, 74, 75, 75, 75, 76, 80, 78, 76, 74, 73, 73, 74, 77, 79]",4,3
aritra,AboutTime_024.mp4,2025-11-06 10:17:51.164,81.43,-4,87,"[86, 87, 84, 80, 78, 78, 79, 79, 80, 79, 80, 79, 80, 81, 79, 81, 84, 85, 85, 84, 82]",3,1
sayantankuila,AboutTime_024.mp4,2025-11-21 13:33:10.649,92.73,-1,95,"[95, 95, 95, 94, 93, 90, 91, 92, 92, 91, 91, 92, 93, 93, 94]",4,4
ajaycc17,AboutTime_024.mp4,2025-12-09 12:45:36.595,103.1,-2,107,"[103, 103, 105, 103, 103, 104, 105, 107, 106, 106, 102, 103, 103, 103, 102, 103, 103, 101, 99, 100, 101]",1,4
debjit2001,AboutTime_031.mp4,2025-10-15 16:51:34.138,71.45,4,76,"[69, 70, 69, 70, 71, 70, 69, 68, 70, 71, 72, 73, 75, 73, 71, 69, 72, 76, 76, 72, 73, 73]",3,2
aritra,AboutTime_031.mp4,2025-11-06 08:58:22.472,78.6,8,83,"[73, 75, 72, 76, 82, 83, 82, 80, 82, 81, 80, 79, 78, 76, 75, 77, 78, 80, 82, 81]",2,2
sayantankuila,AboutTime_031.mp4,2025-11-20 07:58:43.569,79.0,-3,83,"[80, 79, 79, 80, 79, 79, 80, 81, 80, 83, 81, 80, 80, 77, 76, 75, 76, 77]",5,4
ajaycc17,AboutTime_031.mp4,2025-12-09 13:26:21.983,103.0,-3,105,"[104, 102, 101, 102, 103, 103, 102, 101, 103, 104, 104, 103, 103, 104, 104, 105, 105, 101]",4,4
debjit2001,AboutTime_032.mp4,2025-10-23 15:56:40.030,65.47,-8,72,"[71, 72, 70, 69, 63, 62, 61, 62, 65, 68, 67, 66, 67, 64, 62, 63, 64, 65, 63]",4,3
pranjal123,AboutTime_032.mp4,2025-10-29 11:20:06.677,77.33,-5,82,"[81, 80, 73, 78, 81, 80, 79, 81, 82, 81, 80, 76, 73, 72, 73, 72, 74, 76]",4,5
aritra,AboutTime_032.mp4,2025-11-06 10:44:06.153,75.68,4,83,"[75, 77, 76, 73, 72, 72, 73, 76, 79, 83, 81, 78, 74, 72, 70, 73, 78, 77, 79]",2,3
sayantankuila,AboutTime_032.mp4,2025-11-20 07:58:21.148,79.95,-5,84,"[80, 83, 84, 83, 80, 79, 79, 80, 79, 79, 80, 81, 80, 83, 81, 80, 80, 77, 76, 75]",4,3
ajaycc17,AboutTime_032.mp4,2025-12-25 12:16:41.580,96.68,1,100,"[96, 96, 96, 97, 98, 97, 98, 100, 99, 94, 93, 96, 95, 96, 97, 99, 97, 96, 97]",3,4
Nishant,AboutTime_035.mp4,2025-10-17 08:57:19.706,81.61,1,86,"[79, 78, 79, 84, 86, 85, 84, 81, 80, 82, 84, 85, 81, 81, 79, 80, 81, 80]",3,2
debjit2001,AboutTime_035.mp4,2025-10-23 14:43:36.034,67.55,-3,73,"[69, 69, 70, 71, 73, 72, 71, 69, 69, 68, 66, 65, 63, 62, 62, 63, 66, 69, 68, 66]",3,2
aritra,AboutTime_035.mp4,2025-10-28 15:31:34.597,74.12,4,77,"[73, 73, 73, 74, 75, 76, 74, 73, 73, 72, 72, 72, 76, 77, 76, 77]",1,1
pranjal123,AboutTime_035.mp4,2025-10-29 11:45:35.329,76.65,3,80,"[74, 76, 76, 76, 76, 75, 76, 79, 78, 75, 76, 77, 76, 77, 76, 77, 79, 80, 77, 77]",4,3
