clip_id,avg_reported_v,avg_reported_a,avg_inferred_v,avg_inferred_a
TheBlindSide_002,3.5,2.6666666666666665,3.6666666666666665,2.3333333333333335
TheBlindSide_003,3.2,2.4,4.0,3.2
TheBlindSide_004,4.0,3.4,4.0,2.4
TheBlindSide_005,3.8,3.0,4.0,2.4
TheBlindSide_009,2.6,1.8,3.6,2.6
TheBlindSide_010,3.4,2.8,4.0,2.4
TheBlindSide_012,3.4,3.0,3.8,2.2
TheBlindSide_013,3.6,2.4,4.0,2.6
TheBlindSide_018,3.0,2.5,4.0,2.3333333333333335
TheBlindSide_019,3.5,3.5,4.0,2.75
TheBlindSide_020,4.25,3.0,4.0,2.75
TheBlindSide_021,3.6666666666666665,2.1666666666666665,3.8333333333333335,2.3333333333333335
TheBlindSide_022,3.3333333333333335,2.5,4.0,2.1666666666666665
TheBlindSide_025,3.6,2.6,3.4,2.4
TheBlindSide_029,2.8,2.6,3.6,2.6
TheBlindSide_031,3.4,2.6,3.8,2.4
TheBlindSide_032,3.4,2.8,4.0,2.2
TheBlindSide_033,3.5,2.5,3.6666666666666665,2.6666666666666665
TheBlindSide_034,3.75,3.0,4.0,2.25
TheBlindSide_035,3.3333333333333335,2.6666666666666665,3.6666666666666665,2.5
TheBlindSide_036,3.0,2.4,4.0,2.2
TheBlindSide_037,3.4,2.2,3.8,2.6
TheBlindSide_039,3.0,3.0,3.6666666666666665,3.0
TheBlindSide_040,3.4,2.4,3.8,2.2
TheBlindSide_041,4.25,2.5,3.75,2.5
TheBlindSide_042,4.0,2.75,3.75,3.0
TheBlindSide_043,3.75,3.0,4.0,2.3333333333333335
TheBlindSide_046,4.333333333333333,4.333333333333333,3.6666666666666665,4.0
TheBlindSide_049,4.0,2.8,3.6,3.6
TheBlindSide_050,3.6,2.8,2.8,3.4
TheBlindSide_052,3.6,2.6,2.9,3.4
TheBlindSide_053,2.6666666666666665,3.0,3.1666666666666665,3.0
TheBlindSide_054,3.8333333333333335,3.3333333333333335,4.0,3.0
TheBlindSide_055,4.0,4.2,3.8,4.2
TheBlindSide_056,4.6,4.6,3.75,4.25
TheBlindSide_059,4.75,3.75,4.5,3.75
TheBlindSide_060,4.4,3.4,4.2,3.8
TheBlindSide_061,3.6666666666666665,3.8333333333333335,3.5833333333333335,3.4166666666666665
TheBlindSide_062,3.8,3.4,3.6666666666666665,3.3333333333333335
TheBlindSide_063,3.4,3.2,3.2,2.6
TheBlindSide_069,3.6,3.8,3.8,3.8
TheBlindSide_071,3.4,3.2,3.6,3.0
TheBlindSide_072,3.0,2.1666666666666665,3.5500000000000003,3.0833333333333335
TheBlindSide_077,3.6,2.6,2.75,3.5
TheBlindSide_079,4.5,4.166666666666667,4.166666666666667,3.8333333333333335
TheBlindSide_080,4.0,3.3333333333333335,4.0,3.5
TheBlindSide_083,2.25,2.5,3.0,3.25
TheBlindSide_087,4.0,3.0,3.5,3.5
TheBlindSide_089,3.6666666666666665,2.5,3.6666666666666665,3.5
TheBlindSide_091,4.0,3.4,3.8,4.0
TheBlindSide_092,4.166666666666667,2.6666666666666665,3.8,3.4
TheBlindSide_093,4.4,3.4,4.066,3.0620000000000003
TheFaultInOurStars_001,3.6666666666666665,2.5,2.8333333333333335,3.0
TheFaultInOurStars_004,3.2,2.4,3.2,2.8
TheFaultInOurStars_005,3.2,3.6,2.25,3.125
TheFaultInOurStars_006,3.0,3.3333333333333335,2.0,3.0
TheFaultInOurStars_016,3.0,3.8,2.2,3.4
TheFaultInOurStars_021,3.8333333333333335,3.8333333333333335,3.1666666666666665,3.3333333333333335
TheFaultInOurStars_032,2.6,3.0,2.2,3.0
TheFaultInOurStars_037,3.0,2.6666666666666665,2.1666666666666665,2.5
TheFaultInOurStars_042,3.0,2.75,2.0,3.6666666666666665
TheFaultInOurStars_052,3.0,3.0,2.5,2.75
TheFaultInOurStars_069,3.5,2.5,3.0,2.625
TheFaultInOurStars_070,2.0,2.4,2.2,2.8
TheFaultInOurStars_071,1.6666666666666667,3.0,2.6666666666666665,3.0
TheFaultInOurStars_072,3.2,2.0,2.4,2.6
TheFaultInOurStars_077,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.8333333333333335
TheTheoryOfEverything_001,3.8,2.8,3.6,3.4
TheTheoryOfEverything_005,3.3333333333333335,2.5,2.3333333333333335,2.1666666666666665
TheTheoryOfEverything_009,3.8333333333333335,3.1666666666666665,3.5,3.3333333333333335
TheTheoryOfEverything_016,4.75,4.25,3.75,3.25
TheTheoryOfEverything_021,2.5,3.0,2.75,3.0
TheTheoryOfEverything_026,3.4,3.4,3.4,3.5
TheTheoryOfEverything_034,3.2,3.0,3.2,3.2
TheTheoryOfEverything_037,3.25,3.0,3.5,3.5
TheTheoryOfEverything_038,3.0,2.6666666666666665,3.0,2.8
TheTheoryOfEverything_040,4.0,3.1666666666666665,4.2,3.5
TheTheoryOfEverything_054,3.8,3.0,3.2,3.8
TheTheoryOfEverything_057,3.3333333333333335,2.3333333333333335,3.0,2.6666666666666665
