clip_id,Nishant,ajaycc17,aritra,debjit2001,pranjal123,sayantankuila,avg_inferred_arousal
TheBlindSide_006,5.0,4.0,3.0,3.0,3.0,5.0,3.8333333333333335
TheBlindSide_007,4.0,2.0,2.0,3.0,2.0,2.0,2.5
TheBlindSide_008,4.0,4.0,2.0,1.0,2.0,2.0,2.5
TheBlindSide_009,3.0,5.0,2.0,3.0,,4.0,3.4
TheBlindSide_010,3.0,5.0,4.0,2.0,3.0,2.0,3.1666666666666665
TheBlindSide_011,4.0,4.0,3.0,2.0,3.0,4.0,3.3333333333333335
TheBlindSide_012,4.0,4.0,2.0,1.0,2.0,4.0,2.8333333333333335
TheBlindSide_013,4.0,4.0,3.0,2.0,,2.0,3.0
TheBlindSide_014,3.0,5.0,1.0,3.0,,2.0,2.8
TheBlindSide_015,4.0,4.0,2.0,2.0,2.0,4.0,3.0
TheBlindSide_016,3.0,5.0,1.0,1.0,3.0,3.0,2.6666666666666665
TheBlindSide_017,2.0,3.0,4.0,1.0,3.0,4.0,2.8333333333333335
TheBlindSide_018,2.0,5.0,4.0,1.0,2.0,3.0,2.8333333333333335
TheBlindSide_019,4.0,4.0,2.0,2.0,,4.0,3.2
TheBlindSide_020,4.0,3.0,2.0,1.0,,4.0,2.8
TheBlindSide_021,2.0,5.0,5.0,2.0,4.0,3.0,3.5
TheBlindSide_022,5.0,4.0,4.0,2.0,2.0,4.0,3.5
TheBlindSide_024,4.0,3.0,2.0,3.0,,4.0,3.2
TheBlindSide_025,4.0,5.0,4.0,1.0,2.0,2.0,3.0
TheBlindSide_027,2.0,4.0,1.0,3.0,2.0,4.0,2.6666666666666665
TheBlindSide_028,4.0,3.0,2.0,2.0,,4.0,3.0
TheBlindSide_029,4.0,,2.0,1.0,1.0,3.0,2.2
TheBlindSide_031,4.0,4.0,2.0,3.0,3.0,2.0,3.0
TheBlindSide_032,4.0,5.0,2.0,1.0,3.0,3.0,3.0
TheBlindSide_033,2.0,2.0,3.0,2.0,2.0,3.0,2.3333333333333335
TheBlindSide_034,3.0,5.0,3.0,2.0,,4.0,3.4
TheBlindSide_035,3.0,4.0,2.0,2.0,2.0,4.0,2.8333333333333335
TheBlindSide_036,2.0,4.0,3.0,2.0,,3.0,2.8
TheBlindSide_037,4.0,5.0,3.0,3.0,4.0,3.0,3.6666666666666665
TheBlindSide_038,3.0,2.0,2.0,2.0,4.0,4.0,2.8333333333333335
TheBlindSide_039,2.0,,2.0,3.0,,3.0,2.5
TheBlindSide_040,3.0,5.0,2.0,2.0,3.0,3.0,3.0
TheBlindSide_041,3.0,3.0,3.0,3.0,,5.0,3.4
TheBlindSide_042,3.0,,2.0,3.0,,4.0,3.0
TheBlindSide_043,4.0,4.0,3.0,2.0,,3.0,3.2
TheBlindSide_044,3.0,3.0,2.0,2.0,,2.0,2.4
TheBlindSide_045,3.0,4.0,4.0,2.0,,4.0,3.4
TheBlindSide_046,3.0,5.0,3.0,1.0,,5.0,3.4
TheBlindSide_049,2.0,4.0,4.0,2.0,,4.0,3.2
TheBlindSide_050,5.0,4.0,2.0,2.0,3.0,2.0,3.0
TheBlindSide_052,2.0,4.0,2.0,2.0,3.0,3.0,2.6666666666666665
TheBlindSide_053,3.0,3.0,4.0,1.0,4.0,4.0,3.1666666666666665
TheBlindSide_054,2.0,5.0,4.0,4.0,2.0,4.0,3.5
TheBlindSide_055,4.0,4.0,2.0,1.0,3.0,3.0,2.8333333333333335
TheBlindSide_056,2.0,3.0,2.0,1.0,,4.0,2.4
TheBlindSide_057,3.0,5.0,4.0,1.0,2.0,2.0,2.8333333333333335
TheBlindSide_058,4.0,,3.0,2.0,,2.0,2.75
TheBlindSide_059,3.0,4.0,2.0,1.0,,4.0,2.8
TheBlindSide_060,3.0,2.0,2.0,1.0,,4.0,2.4
TheBlindSide_061,4.0,4.0,2.0,1.0,3.0,3.0,2.8333333333333335
TheBlindSide_062,4.0,4.0,3.0,2.0,3.0,2.0,3.0
TheBlindSide_063,3.0,4.0,4.0,1.0,,3.0,3.0
TheBlindSide_064,3.0,4.0,3.0,2.0,,2.0,2.8
TheBlindSide_065,3.0,2.0,2.0,2.0,5.0,3.0,2.8333333333333335
TheBlindSide_066,4.0,5.0,2.0,3.0,,4.0,3.6
TheBlindSide_067,2.0,3.0,2.0,2.0,,4.0,2.6
TheBlindSide_068,3.0,4.0,3.0,2.0,2.0,4.0,3.0
TheBlindSide_069,3.0,4.0,3.0,2.0,2.0,2.0,2.6666666666666665
TheBlindSide_071,3.0,5.0,3.0,3.0,,2.0,3.2
TheBlindSide_072,3.0,2.0,4.0,1.0,3.0,3.0,2.6666666666666665
TheBlindSide_073,3.0,3.0,2.0,4.0,,3.0,3.0
TheBlindSide_075,3.0,3.0,4.0,3.0,2.0,2.0,2.8333333333333335
TheBlindSide_076,2.0,2.0,2.0,2.0,,3.0,2.2
TheBlindSide_077,2.0,3.0,2.0,3.0,,4.0,2.8
TheBlindSide_078,4.0,4.0,3.0,3.0,2.0,2.0,3.0
TheBlindSide_079,2.0,4.0,2.0,1.0,4.0,3.0,2.6666666666666665
TheBlindSide_080,2.0,4.0,5.0,2.0,3.0,4.0,3.3333333333333335
TheBlindSide_081,4.0,4.0,3.0,2.0,,5.0,3.6
TheBlindSide_082,4.0,4.0,4.0,3.0,,4.0,3.8
TheBlindSide_083,3.0,5.0,3.0,2.0,,4.0,3.4
TheBlindSide_084,4.0,5.0,3.0,2.0,2.0,3.0,3.1666666666666665
TheBlindSide_085,4.0,4.0,4.0,3.0,,3.0,3.6
TheBlindSide_086,2.0,,3.0,2.0,,4.0,2.75
TheBlindSide_087,3.0,4.0,2.0,2.0,,3.0,2.8
TheBlindSide_088,3.0,4.0,3.0,2.0,4.0,4.0,3.3333333333333335
TheBlindSide_089,2.0,4.0,2.0,2.0,3.0,2.0,2.5
TheBlindSide_091,4.0,5.0,2.0,2.0,5.0,4.0,3.6666666666666665
TheBlindSide_092,2.0,5.0,4.0,2.0,3.0,4.0,3.3333333333333335
TheBlindSide_093,3.0,5.0,5.0,4.0,,4.0,4.2
TheFaultInOurStars_000,4.0,4.0,2.0,3.0,,3.0,3.2
TheFaultInOurStars_001,2.0,4.0,1.0,2.0,3.0,3.0,2.5
TheFaultInOurStars_002,3.0,5.0,2.0,2.0,,4.0,3.2
TheFaultInOurStars_003,3.0,4.0,1.0,3.0,3.0,2.0,2.6666666666666665
TheFaultInOurStars_004,5.0,5.0,2.0,2.0,3.0,3.0,3.3333333333333335
TheFaultInOurStars_005,4.0,3.0,3.0,1.0,,4.0,3.0
TheFaultInOurStars_006,4.0,5.0,2.0,,,2.0,3.25
TheFaultInOurStars_007,4.0,4.0,2.0,2.0,2.0,3.0,2.8333333333333335
TheFaultInOurStars_008,3.0,3.0,2.0,2.0,2.0,3.0,2.5
TheFaultInOurStars_009,3.0,4.0,3.0,2.0,,2.0,2.8
TheFaultInOurStars_010,4.0,5.0,4.0,2.0,2.0,4.0,3.5
TheFaultInOurStars_011,3.0,5.0,3.0,2.0,2.0,3.0,3.0
TheFaultInOurStars_012,3.0,4.0,4.0,2.0,3.0,5.0,3.5
TheFaultInOurStars_013,3.0,5.0,3.0,2.0,,4.0,3.4
TheFaultInOurStars_014,3.0,5.0,4.0,2.0,2.0,4.0,3.3333333333333335
TheFaultInOurStars_015,3.0,4.0,2.0,2.0,,4.0,3.0
TheFaultInOurStars_016,4.0,4.0,2.0,3.0,,3.0,3.2
TheFaultInOurStars_017,1.0,5.0,3.0,4.0,3.0,2.0,3.0
TheFaultInOurStars_018,3.0,,2.0,3.0,,2.0,2.5
TheFaultInOurStars_019,4.0,3.0,2.0,2.0,3.0,2.0,2.6666666666666665
TheFaultInOurStars_020,4.0,5.0,1.0,3.0,3.0,4.0,3.3333333333333335
TheFaultInOurStars_021,2.0,4.0,3.0,1.0,3.0,4.0,2.8333333333333335
TheFaultInOurStars_022,4.0,4.0,3.0,1.0,,2.0,2.8
TheFaultInOurStars_023,3.0,3.0,3.0,1.0,,3.0,2.6
TheFaultInOurStars_024,4.0,4.0,4.0,2.0,2.0,4.0,3.3333333333333335
TheFaultInOurStars_025,4.0,4.0,2.0,1.0,,2.0,2.6
TheFaultInOurStars_026,5.0,4.0,4.0,1.0,2.0,2.0,3.0
TheFaultInOurStars_027,3.0,3.0,2.0,2.0,,5.0,3.0
TheFaultInOurStars_028,2.0,4.0,4.0,2.0,,3.0,3.0
TheFaultInOurStars_029,3.0,4.0,3.0,3.0,3.0,3.0,3.1666666666666665
TheFaultInOurStars_030,3.0,5.0,4.0,2.0,2.0,3.0,3.1666666666666665
TheFaultInOurStars_031,3.0,3.0,4.0,2.0,2.0,2.0,2.6666666666666665
TheFaultInOurStars_032,3.0,3.0,3.0,3.0,3.0,4.0,3.1666666666666665
TheFaultInOurStars_033,2.0,3.0,2.0,2.0,,4.0,2.6
TheFaultInOurStars_034,3.0,3.0,2.0,4.0,,3.0,3.0
TheFaultInOurStars_035,3.0,3.0,2.0,3.0,,3.0,2.8
TheFaultInOurStars_036,3.0,4.0,3.0,2.0,3.0,2.0,2.8333333333333335
TheFaultInOurStars_037,4.0,5.0,5.0,2.0,4.0,4.0,4.0
TheFaultInOurStars_038,4.0,,3.0,2.0,,5.0,3.5
TheFaultInOurStars_039,3.0,4.0,3.0,2.0,,3.0,3.0
TheFaultInOurStars_040,3.0,4.0,2.0,2.0,,2.0,2.6
TheFaultInOurStars_041,4.0,4.0,5.0,2.0,2.0,3.0,3.3333333333333335
TheFaultInOurStars_042,3.0,4.0,2.0,2.0,,4.0,3.0
TheFaultInOurStars_043,4.0,5.0,3.0,2.0,,4.0,3.6
TheFaultInOurStars_044,3.0,4.0,2.0,3.0,,3.0,3.0
TheFaultInOurStars_045,4.0,4.0,2.0,2.0,2.0,2.0,2.6666666666666665
TheFaultInOurStars_046,3.0,4.0,2.0,4.0,3.0,5.0,3.5
TheFaultInOurStars_048,3.0,5.0,2.0,3.0,4.0,5.0,3.6666666666666665
TheFaultInOurStars_049,4.0,5.0,3.0,1.0,2.0,3.0,3.0
TheFaultInOurStars_050,4.0,4.0,3.0,3.0,,5.0,3.8
TheFaultInOurStars_051,4.0,2.0,3.0,2.0,2.0,3.0,2.6666666666666665
TheFaultInOurStars_052,2.0,5.0,4.0,2.0,,3.0,3.2
TheFaultInOurStars_053,2.0,4.0,2.0,3.0,,5.0,3.2
TheFaultInOurStars_054,2.0,5.0,2.0,2.0,3.0,4.0,3.0
TheFaultInOurStars_055,2.0,2.0,3.0,2.0,,4.0,2.6
TheFaultInOurStars_056,3.0,4.0,2.0,3.0,2.0,2.0,2.6666666666666665
TheFaultInOurStars_057,3.0,5.0,2.0,4.0,,4.0,3.6
TheFaultInOurStars_058,5.0,4.0,3.0,1.0,,3.0,3.2
TheFaultInOurStars_059,2.0,5.0,2.0,3.0,,3.0,3.0
TheFaultInOurStars_060,3.0,5.0,1.0,3.0,4.0,5.0,3.5
TheFaultInOurStars_061,3.0,4.0,4.0,2.0,,4.0,3.4
TheFaultInOurStars_062,3.0,4.0,2.0,2.0,4.0,3.0,3.0
TheFaultInOurStars_063,4.0,4.0,2.0,1.0,,3.0,2.8
TheFaultInOurStars_064,4.0,4.0,3.0,3.0,,5.0,3.8
TheFaultInOurStars_065,3.0,4.0,3.0,2.0,,3.0,3.0
TheFaultInOurStars_066,3.0,4.0,2.0,1.0,3.0,3.0,2.6666666666666665
TheFaultInOurStars_067,3.0,4.0,3.0,2.0,2.0,2.0,2.6666666666666665
TheFaultInOurStars_068,4.0,5.0,2.0,2.0,3.0,3.0,3.1666666666666665
TheFaultInOurStars_069,3.0,3.0,3.0,2.0,,4.0,3.0
TheFaultInOurStars_070,4.0,5.0,4.0,3.0,1.0,3.0,3.3333333333333335
TheFaultInOurStars_071,2.0,,4.0,1.0,,3.0,2.5
TheFaultInOurStars_072,2.0,4.0,2.0,4.0,,4.0,3.2
TheFaultInOurStars_073,3.0,4.0,5.0,2.0,,4.0,3.6
TheFaultInOurStars_074,2.0,4.0,2.0,2.0,,3.0,2.6
TheFaultInOurStars_075,4.0,5.0,4.0,3.0,3.0,4.0,3.8333333333333335
TheFaultInOurStars_076,2.0,4.0,2.0,2.0,2.0,5.0,2.8333333333333335
TheFaultInOurStars_077,3.0,4.0,2.0,3.0,2.0,3.0,2.8333333333333335
TheSpectacularNow_023,4.0,5.0,2.0,2.0,,3.0,3.2
TheSpectacularNow_068,4.0,5.0,4.0,1.0,4.0,4.0,3.6666666666666665
TheTheoryOfEverything_001,4.0,5.0,3.0,2.0,3.0,3.0,3.3333333333333335
TheTheoryOfEverything_003,4.0,4.0,3.0,3.0,2.0,1.0,2.8333333333333335
TheTheoryOfEverything_005,2.0,4.0,4.0,3.0,4.0,4.0,3.5
TheTheoryOfEverything_009,5.0,4.0,2.0,2.0,4.0,3.0,3.3333333333333335
TheTheoryOfEverything_012,4.0,3.0,2.0,3.0,,4.0,3.2
TheTheoryOfEverything_016,3.0,4.0,1.0,1.0,,4.0,2.6
TheTheoryOfEverything_018,4.0,5.0,3.0,2.0,,2.0,3.2
TheTheoryOfEverything_021,4.0,4.0,3.0,2.0,,3.0,3.2
TheTheoryOfEverything_022,3.0,4.0,4.0,1.0,,3.0,3.0
TheTheoryOfEverything_026,3.0,4.0,1.0,2.0,,2.0,2.4
TheTheoryOfEverything_030,2.0,5.0,4.0,2.0,,5.0,3.6
TheTheoryOfEverything_031,4.0,4.0,3.0,2.0,,4.0,3.4
TheTheoryOfEverything_034,3.0,5.0,2.0,3.0,3.0,3.0,3.1666666666666665
TheTheoryOfEverything_037,4.0,3.0,3.0,1.0,,4.0,3.0
TheTheoryOfEverything_038,2.0,4.0,4.0,2.0,3.0,2.0,2.8333333333333335
TheTheoryOfEverything_039,3.0,3.0,2.0,2.0,3.0,5.0,3.0
TheTheoryOfEverything_040,4.0,3.0,3.0,2.0,2.0,5.0,3.1666666666666665
TheTheoryOfEverything_041,5.0,4.0,1.0,2.0,4.0,3.0,3.1666666666666665
TheTheoryOfEverything_042,3.0,5.0,2.0,2.0,,3.0,3.0
TheTheoryOfEverything_043,3.0,3.0,4.0,1.0,2.0,2.0,2.5
TheTheoryOfEverything_048,3.0,4.0,1.0,1.0,,4.0,2.6
TheTheoryOfEverything_051,3.0,,3.0,2.0,,3.0,2.75
TheTheoryOfEverything_054,3.0,2.0,3.0,2.0,1.0,4.0,2.5
TheTheoryOfEverything_057,3.0,,3.0,2.0,,1.0,2.25
Wonder_120,5.0,5.0,3.0,2.0,,4.0,3.8
