participant,clip_title,timestamp,avg_bpm,bpm_drift,max_bpm,hr_sequence,self_reported_valence,self_reported_arousal,V_Cognitive_Alignment,V_Emotional_Resonance,V_Avg_Drift,A_Cognitive_Alignment,A_Emotional_Resonance,A_Avg_Drift,movie_name
Nishant,AboutTime_006.mp4,2025-10-17 10:06:31.527,82.4,1,85,"[83, 82, 81, 80, 80, 81, 80, 82, 84, 83, 84, 83, 84, 85, 84]",3,3,31.75,60.95,-1.266,44.16,61.31,-0.836,AboutTime
debjit2001,AboutTime_006.mp4,2025-10-23 14:30:24.792,61.33,-5,64,"[64, 64, 62, 61, 62, 61, 63, 64, 63, 63, 60, 60, 61, 62, 59, 58, 58, 59]",4,3,41.61,59.49,-0.62,36.86,33.94,-1.42,AboutTime
pranjal123,AboutTime_006.mp4,2025-10-29 11:09:33.611,78.06,2,81,"[76, 80, 78, 79, 79, 78, 80, 81, 80, 79, 78, 77, 77, 75, 75, 76, 79, 78]",5,2,32.12,35.77,-1.38,23.72,30.29,-1.741,AboutTime
aritra,AboutTime_006.mp4,2025-11-06 08:26:56.465,82.76,2,87,"[82, 80, 79, 80, 81, 82, 81, 81, 83, 84, 84, 83, 84, 86, 87, 86, 84]",1,1,23.72,65.69,-1.073,18.25,70.8,-1.482,AboutTime
sayantankuila,AboutTime_006.mp4,2025-11-21 13:06:48.876,87.11,-12,95,"[94, 95, 95, 93, 92, 90, 90, 91, 90, 88, 81, 77, 80, 83, 84, 82, 83, 85, 82]",4,5,43.43,67.88,-0.69,41.97,49.64,-1.201,AboutTime
ajaycc17,AboutTime_006.mp4,2025-12-09 14:04:23.713,101.8,-2,110,"[101, 101, 103, 103, 104, 109, 110, 105, 102, 103, 102, 100, 104, 101, 100, 96, 97, 98, 98, 99]",4,3,40.15,68.25,-0.409,36.86,55.47,-1.566,AboutTime
debjit2001,AboutTime_007.mp4,2025-10-23 15:13:26.930,77.05,-7,82,"[82, 79, 80, 79, 80, 81, 80, 78, 81, 78, 77, 75, 74, 75, 73, 72, 71, 74, 75]",3,3,41.61,59.49,-0.62,36.86,33.94,-1.42,AboutTime
aritra,AboutTime_007.mp4,2025-11-06 08:58:05.915,76.11,-10,82,"[80, 82, 81, 78, 77, 76, 76, 74, 75, 75, 75, 76, 79, 77, 74, 74, 71, 70]",2,1,23.72,65.69,-1.073,18.25,70.8,-1.482,AboutTime
sayantankuila,AboutTime_007.mp4,2025-11-21 13:30:49.648,92.92,-3,95,"[94, 95, 95, 95, 95, 94, 93, 90, 91, 92, 92, 91, 91]",3,4,43.43,67.88,-0.69,41.97,49.64,-1.201,AboutTime
ajaycc17,AboutTime_007.mp4,2025-12-09 12:54:08.006,103.28,2,106,"[101, 102, 104, 105, 104, 103, 102, 103, 102, 103, 104, 103, 102, 103, 104, 105, 106, 103]",4,3,40.15,68.25,-0.409,36.86,55.47,-1.566,AboutTime
debjit2001,AboutTime_008.mp4,2025-10-23 16:07:10.197,75.64,-10,93,"[87, 83, 78, 85, 93, 89, 76, 82, 78, 75, 73, 74, 72, 72, 68, 65, 64, 65, 69, 68, 71, 77]",3,3,41.61,59.49,-0.62,36.86,33.94,-1.42,AboutTime
aritra,AboutTime_008.mp4,2025-11-06 10:40:10.867,74.63,3,82,"[72, 74, 79, 81, 82, 82, 81, 78, 75, 70, 69, 70, 71, 70, 71, 74, 72, 72, 75]",1,1,23.72,65.69,-1.073,18.25,70.8,-1.482,AboutTime
sayantankuila,AboutTime_008.mp4,2025-11-21 12:36:16.107,91.5,-4,95,"[95, 93, 92, 91, 92, 93, 92, 92, 91, 89, 88, 90, 92, 91]",4,4,43.43,67.88,-0.69,41.97,49.64,-1.201,AboutTime
ajaycc17,AboutTime_008.mp4,2025-12-25 12:31:41.694,93.33,-2,96,"[95, 93, 91, 92, 94, 92, 90, 93, 95, 93, 94, 96, 95, 94, 93]",4,2,40.15,68.25,-0.409,36.86,55.47,-1.566,AboutTime
Nishant,AboutTime_009.mp4,2025-10-17 10:10:03.179,81.14,2,84,"[80, 82, 83, 82, 80, 82, 81, 82, 81, 80, 83, 80, 81, 82, 84, 79, 76, 79, 82, 83, 82]",2,1,31.75,60.95,-1.266,44.16,61.31,-0.836,AboutTime
debjit2001,AboutTime_009.mp4,2025-10-23 14:42:33.192,66.42,-3,70,"[68, 66, 65, 63, 62, 62, 63, 66, 69, 68, 66, 69, 70, 68, 69, 69, 68, 66, 65]",3,2,41.61,59.49,-0.62,36.86,33.94,-1.42,AboutTime
pranjal123,AboutTime_009.mp4,2025-10-29 10:53:22.386,77.78,-3,81,"[79, 77, 76, 77, 78, 79, 77, 76, 78, 80, 81, 80, 80, 78, 77, 76, 75, 76]",2,2,32.12,35.77,-1.38,23.72,30.29,-1.741,AboutTime
aritra,AboutTime_009.mp4,2025-11-06 10:54:23.743,77.83,-4,81,"[81, 79, 78, 76, 75, 76, 76, 76, 77, 80, 79, 80, 79, 78, 79, 78, 77, 77]",3,4,23.72,65.69,-1.073,18.25,70.8,-1.482,AboutTime
sayantankuila,AboutTime_009.mp4,2025-11-21 12:54:25.611,91.2,-1,95,"[92, 93, 94, 93, 91, 91, 91, 92, 95, 93, 92, 90, 90, 89, 89, 90, 90, 89, 89, 91]",3,3,43.43,67.88,-0.69,41.97,49.64,-1.201,AboutTime
ajaycc17,AboutTime_009.mp4,2025-12-09 13:22:15.203,102.89,-2,106,"[104, 105, 106, 103, 104, 102, 105, 106, 103, 100, 101, 102, 103, 102, 102, 101, 101, 102]",3,3,40.15,68.25,-0.409,36.86,55.47,-1.566,AboutTime
debjit2001,AboutTime_010.mp4,2025-10-15 16:58:01.777,73.26,-11,78,"[74, 73, 72, 73, 75, 76, 76, 77, 76, 78, 77, 75, 73, 74, 75, 71, 69, 65, 63]",4,3,41.61,59.49,-0.62,36.86,33.94,-1.42,AboutTime
Nishant,AboutTime_010.mp4,2025-10-17 08:45:02.846,82.35,-11,88,"[87, 88, 87, 86, 85, 86, 86, 83, 79, 81, 83, 85, 86, 82, 82, 78, 76, 76, 75, 76]",3,2,31.75,60.95,-1.266,44.16,61.31,-0.836,AboutTime
aritra,AboutTime_010.mp4,2025-11-06 10:14:48.398,82.71,-4,87,"[84, 83, 82, 83, 85, 86, 87, 85, 82, 83, 82, 84, 86, 87, 84, 80, 78, 78, 79, 79, 80]",2,2,23.72,65.69,-1.073,18.25,70.8,-1.482,AboutTime
sayantankuila,AboutTime_010.mp4,2025-11-21 13:28:27.398,94.21,-2,96,"[95, 95, 95, 94, 94, 95, 94, 94, 95, 96, 94, 93, 92, 93]",4,4,43.43,67.88,-0.69,41.97,49.64,-1.201,AboutTime
ajaycc17,AboutTime_010.mp4,2025-12-25 12:11:42.645,99.8,-6,104,"[102, 100, 97, 99, 104, 100, 103, 102, 101, 98, 98, 99, 100, 98, 96]",3,3,40.15,68.25,-0.409,36.86,55.47,-1.566,AboutTime
Nishant,AboutTime_011.mp4,2025-10-17 10:04:02.078,79.5,5,84,"[75, 76, 77, 75, 76, 78, 79, 78, 80, 79, 78, 81, 82, 84, 84, 83, 82, 81, 82, 80]",3,4,31.75,60.95,-1.266,44.16,61.31,-0.836,AboutTime
debjit2001,AboutTime_011.mp4,2025-10-23 16:01:15.044,65.83,-5,74,"[66, 68, 69, 68, 69, 71, 73, 74, 70, 69, 64, 62, 58, 58, 60, 62, 63, 61]",3,4,41.61,59.49,-0.62,36.86,33.94,-1.42,AboutTime
pranjal123,AboutTime_011.mp4,2025-10-29 10:49:08.770,82.2,4,85,"[78, 80, 81, 81, 82, 83, 85, 84, 84, 83, 84, 83, 82, 81, 82]",5,5,32.12,35.77,-1.38,23.72,30.29,-1.741,AboutTime
aritra,AboutTime_011.mp4,2025-11-06 10:42:01.258,75.32,5,83,"[72, 75, 77, 76, 73, 72, 72, 73, 76, 79, 83, 81, 78, 74, 72, 70, 73, 78, 77]",3,3,23.72,65.69,-1.073,18.25,70.8,-1.482,AboutTime
sayantankuila,AboutTime_011.mp4,2025-11-20 08:21:53.190,74.71,-1,83,"[82, 83, 80, 77, 74, 75, 74, 69, 67, 68, 65, 69, 82, 81]",4,4,43.43,67.88,-0.69,41.97,49.64,-1.201,AboutTime
ajaycc17,AboutTime_011.mp4,2025-12-09 13:27:26.457,103.17,2,110,"[100, 101, 104, 106, 105, 102, 104, 110, 107, 105, 102, 103, 101, 100, 100, 101, 104, 102]",3,2,40.15,68.25,-0.409,36.86,55.47,-1.566,AboutTime
Nishant,AboutTime_012.mp4,2025-10-17 10:02:02.183,78.75,-7,83,"[83, 78, 75, 74, 74, 79, 80, 79, 80, 81, 81, 82, 81, 83, 82, 79, 77, 76, 75, 76]",4,3,31.75,60.95,-1.266,44.16,61.31,-0.836,AboutTime
debjit2001,AboutTime_012.mp4,2025-10-23 16:04:51.081,65.57,-16,79,"[79, 71, 68, 64, 68, 72, 65, 66, 64, 63, 70, 67, 62, 61, 62, 57, 60, 64, 68, 65, 64, 65, 63]",3,3,41.61,59.49,-0.62,36.86,33.94,-1.42,AboutTime
aritra,AboutTime_012.mp4,2025-11-06 08:55:46.799,76.89,1,83,"[77, 75, 73, 71, 70, 72, 73, 75, 72, 76, 82, 83, 82, 80, 82, 81, 80, 79, 78]",1,1,23.72,65.69,-1.073,18.25,70.8,-1.482,AboutTime
sayantankuila,AboutTime_012.mp4,2025-11-20 07:49:02.259,77.83,1,82,"[80, 78, 78, 77, 75, 75, 75, 79, 82, 79, 78, 76, 74, 76, 77, 79, 82, 81]",4,5,43.43,67.88,-0.69,41.97,49.64,-1.201,AboutTime
ajaycc17,AboutTime_012.mp4,2025-12-25 14:05:38.127,91.7,12,98,"[86, 87, 87, 85, 88, 90, 89, 88, 93, 95, 94, 94, 94, 93, 93, 94, 94, 95, 97, 98]",3,3,40.15,68.25,-0.409,36.86,55.47,-1.566,AboutTime
Nishant,AboutTime_013.mp4,2025-10-17 08:24:20.923,81.53,-4,85,"[84, 85, 84, 83, 82, 81, 81, 81, 81, 78, 77, 78, 82, 83, 84, 83, 82, 80, 80]",1,1,31.75,60.95,-1.266,44.16,61.31,-0.836,AboutTime
debjit2001,AboutTime_013.mp4,2025-10-23 15:57:06.066,68.06,1,75,"[65, 67, 68, 69, 70, 71, 73, 75, 72, 67, 65, 67, 66, 65, 66, 66, 67, 66]",3,2,41.61,59.49,-0.62,36.86,33.94,-1.42,AboutTime
pranjal123,AboutTime_013.mp4,2025-10-29 11:35:08.382,76.38,2,80,"[73, 74, 77, 79, 80, 79, 78, 79, 78, 77, 77, 75, 74, 73, 74, 75]",3,1,32.12,35.77,-1.38,23.72,30.29,-1.741,AboutTime
aritra,AboutTime_013.mp4,2025-11-06 10:52:57.631,75.33,4,81,"[72, 73, 72, 73, 74, 73, 74, 72, 71, 81, 81, 81, 79, 78, 76]",2,2,23.72,65.69,-1.073,18.25,70.8,-1.482,AboutTime
sayantankuila,AboutTime_013.mp4,2025-11-21 13:42:53.091,100.0,-10,108,"[107, 107, 105, 99, 96, 95, 96, 98, 103, 108, 107, 106, 103, 102, 100, 96, 97, 97, 97, 96, 93, 95, 97]",2,3,43.43,67.88,-0.69,41.97,49.64,-1.201,AboutTime
ajaycc17,AboutTime_013.mp4,2025-12-09 14:00:57.253,100.76,-5,104,"[104, 101, 101, 99, 102, 104, 103, 102, 101, 100, 103, 102, 97, 98, 100, 97, 99]",3,1,40.15,68.25,-0.409,36.86,55.47,-1.566,AboutTime
debjit2001,AboutTime_014.mp4,2025-10-15 17:18:46.819,67.86,-12,76,"[76, 76, 69, 67, 66, 69, 71, 70, 67, 63, 64, 65, 64, 65, 66, 68, 70, 72, 69, 64, 64]",3,3,41.61,59.49,-0.62,36.86,33.94,-1.42,AboutTime
Nishant,AboutTime_014.mp4,2025-10-17 10:05:43.460,81.53,2,84,"[82, 80, 79, 82, 83, 84, 83, 82, 81, 80, 80, 81, 80, 82, 84]",3,4,31.75,60.95,-1.266,44.16,61.31,-0.836,AboutTime
aritra,AboutTime_014.mp4,2025-10-28 15:24:54.528,75.06,0,79,"[74, 76, 79, 77, 75, 76, 75, 74, 76, 78, 78, 75, 73, 72, 72, 74, 73, 74]",3,4,23.72,65.69,-1.073,18.25,70.8,-1.482,AboutTime
sayantankuila,AboutTime_014.mp4,2025-11-21 13:38:58.773,97.58,3,104,"[94, 92, 92, 93, 95, 99, 101, 104, 102, 101, 101, 99, 98, 96, 96, 97, 99, 98, 97]",3,3,43.43,67.88,-0.69,41.97,49.64,-1.201,AboutTime
debjit2001,AboutTime_015.mp4,2025-10-22 07:18:35.867,61.94,0,70,"[60, 59, 58, 61, 63, 62, 60, 59, 58, 58, 60, 65, 68, 70, 69, 63, 62, 60]",4,4,41.61,59.49,-0.62,36.86,33.94,-1.42,AboutTime
aritra,AboutTime_015.mp4,2025-11-06 10:28:05.235,78.5,4,82,"[73, 77, 78, 78, 78, 79, 81, 80, 80, 82, 82, 78, 76, 77]",1,2,23.72,65.69,-1.073,18.25,70.8,-1.482,AboutTime
sayantankuila,AboutTime_015.mp4,2025-11-20 08:05:10.564,76.89,-2,83,"[75, 78, 80, 76, 74, 75, 77, 77, 76, 75, 76, 77, 79, 81, 83, 79, 76, 74, 73]",5,5,43.43,67.88,-0.69,41.97,49.64,-1.201,AboutTime
ajaycc17,AboutTime_015.mp4,2025-12-09 14:02:51.805,100.0,5,104,"[99, 99, 100, 101, 103, 102, 102, 100, 94, 96, 95, 98, 99, 100, 101, 101, 103, 103, 104]",5,5,40.15,68.25,-0.409,36.86,55.47,-1.566,AboutTime
debjit2001,AboutTime_016.mp4,2025-10-22 07:18:19.233,61.95,0,70,"[63, 62, 59, 60, 59, 58, 61, 63, 62, 60, 59, 58, 58, 60, 65, 68, 70, 69, 63]",4,4,41.61,59.49,-0.62,36.86,33.94,-1.42,AboutTime
aritra,AboutTime_016.mp4,2025-10-28 15:45:54.901,79.0,8,87,"[77, 79, 80, 81, 79, 77, 73, 73, 74, 76, 76, 82, 87, 86, 85]",1,1,23.72,65.69,-1.073,18.25,70.8,-1.482,AboutTime
pranjal123,AboutTime_016.mp4,2025-10-29 11:21:52.752,73.56,0,78,"[74, 72, 78, 77, 74, 70, 71, 72, 70, 69, 73, 76, 77, 76, 74, 73, 74, 74]",5,5,32.12,35.77,-1.38,23.72,30.29,-1.741,AboutTime
sayantankuila,AboutTime_016.mp4,2025-11-21 13:01:43.232,86.82,3,91,"[84, 86, 87, 88, 89, 90, 91, 89, 85, 83, 81, 81, 82, 84, 88, 89, 90, 89, 90, 89, 88, 87]",3,3,43.43,67.88,-0.69,41.97,49.64,-1.201,AboutTime
ajaycc17,AboutTime_016.mp4,2025-12-09 14:22:28.407,94.95,0,101,"[96, 94, 93, 94, 95, 96, 97, 96, 95, 94, 95, 93, 92, 91, 91, 93, 95, 99, 101, 98, 96]",5,2,40.15,68.25,-0.409,36.86,55.47,-1.566,AboutTime
debjit2001,AboutTime_017.mp4,2025-10-23 15:31:40.989,66.45,8,70,"[60, 66, 68, 69, 68, 68, 68, 70, 69, 67, 68, 66, 64, 67, 62, 65, 64, 65, 67, 68]",4,3,41.61,59.49,-0.62,36.86,33.94,-1.42,AboutTime
aritra,AboutTime_017.mp4,2025-11-06 10:43:46.290,76.24,3,83,"[73, 78, 77, 79, 80, 78, 77, 76, 74, 72, 73, 75, 73, 72, 69, 76, 83, 81, 81, 78, 76]",3,2,23.72,65.69,-1.073,18.25,70.8,-1.482,AboutTime
sayantankuila,AboutTime_017.mp4,2025-11-21 13:19:19.681,87.95,8,91,"[83, 85, 87, 89, 90, 85, 88, 90, 90, 87, 88, 89, 88, 87, 87, 88, 88, 89, 90, 91]",3,4,43.43,67.88,-0.69,41.97,49.64,-1.201,AboutTime
ajaycc17,AboutTime_017.mp4,2025-12-09 12:36:25.902,103.71,0,107,"[104, 103, 102, 103, 105, 103, 102, 103, 103, 103, 105, 107, 105, 103, 104, 104, 104]",4,3,40.15,68.25,-0.409,36.86,55.47,-1.566,AboutTime
debjit2001,AboutTime_018.mp4,2025-10-15 16:51:06.156,72.61,-9,80,"[76, 76, 72, 73, 73, 74, 75, 76, 80, 80, 79, 73, 68, 66, 65, 67, 67, 67]",4,2,41.61,59.49,-0.62,36.86,33.94,-1.42,AboutTime
pranjal123,AboutTime_018.mp4,2025-10-29 11:31:47.046,75.56,-2,78,"[78, 75, 76, 75, 75, 75, 74, 75, 77, 77, 75, 75, 74, 75, 77, 76]",5,3,32.12,35.77,-1.38,23.72,30.29,-1.741,AboutTime
aritra,AboutTime_018.mp4,2025-11-06 10:41:34.897,74.74,2,83,"[70, 71, 74, 72, 72, 75, 77, 76, 73, 72, 72, 73, 76, 79, 83, 81, 78, 74, 72]",3,3,23.72,65.69,-1.073,18.25,70.8,-1.482,AboutTime
sayantankuila,AboutTime_018.mp4,2025-11-20 08:10:23.987,79.28,4,86,"[76, 76, 77, 85, 86, 83, 80, 76, 78, 81, 80, 79, 78, 77, 78, 78, 79, 80]",3,3,43.43,67.88,-0.69,41.97,49.64,-1.201,AboutTime
ajaycc17,AboutTime_018.mp4,2025-12-09 14:01:35.971,100.79,0,104,"[102, 104, 103, 102, 101, 100, 103, 102, 97, 98, 100, 97, 99, 99, 100, 101, 103, 102, 102]",5,4,40.15,68.25,-0.409,36.86,55.47,-1.566,AboutTime
Nishant,AboutTime_019.mp4,2025-10-17 08:30:02.853,80.53,0,84,"[81, 82, 80, 79, 81, 81, 80, 78, 76, 77, 80, 81, 80, 81, 82, 84, 84, 82, 81]",4,3,31.75,60.95,-1.266,44.16,61.31,-0.836,AboutTime
debjit2001,AboutTime_019.mp4,2025-10-23 14:48:55.411,64.13,-7,70,"[70, 63, 65, 68, 66, 64, 63, 61, 62, 62, 63, 64, 64, 64, 63]",4,2,41.61,59.49,-0.62,36.86,33.94,-1.42,AboutTime
aritra,AboutTime_019.mp4,2025-11-06 10:45:47.996,78.5,4,86,"[75, 77, 82, 85, 86, 84, 82, 81, 79, 74, 76, 79, 78, 76, 73, 72, 75, 79]",3,2,23.72,65.69,-1.073,18.25,70.8,-1.482,AboutTime
sayantankuila,AboutTime_019.mp4,2025-11-21 13:41:58.158,102.52,4,108,"[99, 102, 101, 100, 101, 102, 103, 105, 107, 108, 107, 107, 105, 99, 96, 95, 96, 98, 103, 108, 107, 106, 103]",5,5,43.43,67.88,-0.69,41.97,49.64,-1.201,AboutTime
