clip_title,clip_order,Nishant_participant_arousal,Nishant_clip_arousal,Nishant_impact_arousal,debjit2001_participant_arousal,debjit2001_clip_arousal,debjit2001_impact_arousal,pranjal123_participant_arousal,pranjal123_clip_arousal,pranjal123_impact_arousal,aritra_participant_arousal,aritra_clip_arousal,aritra_impact_arousal,sayantankuila_participant_arousal,sayantankuila_clip_arousal,sayantankuila_impact_arousal,ajaycc17_participant_arousal,ajaycc17_clip_arousal,ajaycc17_impact_arousal
TheBlindSide_037.mp4,119,3,2,3,3,3,3,3,4,2,1,1,1,2,3,3,3,2,2
TheBlindSide_038.mp4,120,3,2,2,3,4,3,2,5,3,1,3,3,3,4,5,2,5,4
TheBlindSide_039.mp4,121,2,3,4,3,4,4,3,4,3,3,3,2,5,3,3,4,3,2
TheBlindSide_040.mp4,122,4,2,2,4,2,3,3,5,4,2,1,1,3,3,3,2,1,1
TheBlindSide_041.mp4,123,2,2,2,3,3,3,4,4,3,1,1,1,3,3,4,1,2,2
TheBlindSide_042.mp4,124,2,2,3,3,3,2,3,4,3,1,1,1,4,4,5,2,2,2
TheBlindSide_043.mp4,125,3,3,3,2,3,3,3,3,2,1,3,3,5,3,4,2,1,2
TheBlindSide_044.mp4,126,3,2,2,3,3,2,2,4,2,3,1,1,4,4,4,2,2,1
TheBlindSide_045.mp4,127,2,4,3,2,3,3,2,4,3,1,3,3,4,3,3,1,2,2
TheBlindSide_046.mp4,128,3,4,4,3,5,5,3,4,3,3,2,1,3,3,5,2,3,3
TheBlindSide_049.mp4,129,4,3,3,5,4,3,3,4,2,1,2,1,5,4,4,3,2,3
TheBlindSide_050.mp4,130,3,3,2,3,3,4,2,4,3,1,2,2,4,3,4,3,3,3
TheBlindSide_052.mp4,131,2,2,1,4,3,2,3,4,3,2,3,2,4,3,5,3,2,1
TheBlindSide_053.mp4,132,1,4,3,2,3,2,3,5,3,2,1,1,5,5,5,1,3,4
TheBlindSide_054.mp4,133,3,3,3,2,4,5,3,5,4,1,1,1,5,3,3,4,3,4
TheBlindSide_055.mp4,134,3,4,3,5,4,4,4,5,4,1,5,4,3,3,4,4,4,5
TheBlindSide_056.mp4,135,3,4,4,4,5,5,4,5,5,4,5,5,4,5,5,5,5,4
TheBlindSide_057.mp4,136,4,3,3,5,3,3,5,4,2,5,2,2,5,3,4,4,3,3
TheBlindSide_058.mp4,137,3,4,4,3,3,3,2,4,3,2,2,2,4,4,5,3,2,2
TheBlindSide_059.mp4,138,4,4,4,3,3,4,3,4,3,2,3,3,5,5,5,2,4,3
TheBlindSide_060.mp4,139,4,4,4,4,5,4,3,5,4,3,3,1,5,4,4,3,4,4
TheBlindSide_061.mp4,140,4,4,3,4,5,5,4,5,4,1,4,2,4,5,5,4,4,4
TheBlindSide_062.mp4,141,3,3,3,5,5,3,4,4,3,2,3,3,5,3,4,4,4,4
TheBlindSide_063.mp4,142,3,4,5,3,4,3,3,3,2,3,2,1,4,3,3,4,4,4
TheBlindSide_064.mp4,143,5,3,4,3,5,5,2,5,5,1,4,4,3,5,5,4,4,4
TheBlindSide_065.mp4,144,4,4,3,5,4,2,5,3,2,4,2,1,5,3,4,4,3,2
TheBlindSide_066.mp4,145,3,4,4,2,3,2,2,4,2,1,1,1,4,2,3,2,2,2
TheBlindSide_067.mp4,146,4,4,3,2,4,3,2,2,1,1,1,1,3,2,2,2,1,1
TheBlindSide_068.mp4,147,3,4,3,3,5,5,1,4,3,1,4,4,2,4,5,1,4,4
TheBlindSide_069.mp4,148,3,4,3,5,4,5,3,5,5,4,2,1,5,4,4,4,4,4
TheBlindSide_071.mp4,149,3,3,4,5,2,3,5,4,3,1,1,1,4,4,5,4,3,3
TheBlindSide_072.mp4,150,4,3,2,3,2,1,3,4,2,1,1,1,5,3,5,3,2,2
TheBlindSide_073.mp4,151,2,4,4,1,2,1,2,4,2,1,1,1,5,3,4,2,2,2
TheBlindSide_075.mp4,152,4,2,2,1,2,2,2,3,2,1,2,1,4,2,2,2,2,2
TheBlindSide_076.mp4,153,2,4,2,2,3,3,2,4,2,1,1,1,2,2,3,2,2,2
TheBlindSide_077.mp4,154,2,3,2,3,3,3,2,4,3,1,2,2,3,3,3,2,3,3
TheBlindSide_078.mp4,155,2,2,2,3,3,3,3,4,3,2,2,2,3,3,3,3,2,3
TheBlindSide_079.mp4,156,2,4,4,3,4,3,3,5,5,2,4,4,3,4,5,3,4,4
TheBlindSide_080.mp4,157,4,3,3,3,3,3,5,5,4,4,2,2,5,3,4,4,4,4
TheBlindSide_081.mp4,158,3,4,4,3,4,2,4,3,2,2,3,1,4,4,4,4,3,3
TheBlindSide_082.mp4,159,4,3,3,2,4,2,2,4,3,1,2,1,4,4,4,3,3,2
TheBlindSide_083.mp4,160,3,3,4,2,2,2,3,4,2,1,3,3,4,3,3,2,3,2
TheBlindSide_084.mp4,161,4,3,3,2,2,2,2,4,3,3,1,1,3,3,3,2,2,3
TheBlindSide_085.mp4,162,3,3,3,2,1,1,3,4,3,1,1,1,3,4,4,3,1,2
TheBlindSide_086.mp4,163,3,2,2,1,2,3,3,4,3,1,2,2,4,3,3,2,1,2
TheBlindSide_087.mp4,164,2,4,4,3,2,3,3,4,2,2,3,3,3,3,4,2,3,2
TheBlindSide_088.mp4,165,4,3,2,3,2,2,2,3,2,3,2,1,4,3,3,2,3,3
TheBlindSide_089.mp4,166,2,2,2,2,3,3,2,4,2,1,1,1,3,3,4,3,3,3
TheBlindSide_091.mp4,167,2,4,4,3,4,5,2,5,3,1,2,2,4,3,4,3,4,3
TheBlindSide_092.mp4,168,4,3,3,5,4,3,3,4,2,2,2,1,4,3,3,3,3,4
TheBlindSide_093.mp4,169,3,2,2,3,3,4,2,5,5,1,3,3,3,4,5,4,3,3
TheFaultInOurStars_000.mp4,170,2,3,2,4,2,3,5,3,2,3,1,1,5,4,5,3,3,4
TheFaultInOurStars_001.mp4,171,2,3,4,3,3,3,2,4,3,1,1,1,5,3,2,4,2,2
TheFaultInOurStars_002.mp4,172,4,3,4,3,3,3,3,5,4,1,3,3,2,4,4,2,2,3
TheFaultInOurStars_003.mp4,173,4,4,3,3,4,3,4,4,3,3,3,3,4,3,3,3,3,3
TheFaultInOurStars_004.mp4,174,3,4,4,3,4,2,3,4,3,3,2,1,3,4,4,3,3,2
TheFaultInOurStars_005.mp4,175,4,4,4,2,4,3,3,4,4,1,2,2,4,3,4,2,4,5
TheFaultInOurStars_006.mp4,176,4,4,4,3,5,5,4,4,4,2,4,4,4,4,3,5,3,3
TheFaultInOurStars_007.mp4,177,4,3,4,5,4,3,4,3,3,4,1,1,3,3,3,3,4,3
TheFaultInOurStars_008.mp4,178,4,3,3,3,5,4,3,5,2,1,2,2,3,4,4,3,4,5
TheFaultInOurStars_009.mp4,179,3,4,5,4,5,4,2,4,4,2,4,1,4,4,4,5,4,4
TheFaultInOurStars_010.mp4,180,5,3,4,4,4,4,4,4,4,1,1,1,4,3,4,4,3,3
TheFaultInOurStars_011.mp4,181,4,3,3,4,4,4,4,5,5,1,2,1,4,2,3,3,3,4
TheFaultInOurStars_012.mp4,182,3,4,4,4,4,5,5,5,5,1,2,1,3,4,3,4,4,4
TheFaultInOurStars_013.mp4,183,4,4,3,5,3,3,5,4,3,1,3,3,3,3,4,4,3,4
TheFaultInOurStars_014.mp4,184,3,2,2,3,2,1,3,5,3,3,3,3,4,3,3,4,2,2
TheFaultInOurStars_015.mp4,185,2,3,3,1,5,4,3,3,2,3,5,5,3,5,5,2,4,4
TheFaultInOurStars_016.mp4,186,3,5,4,4,5,3,2,3,1,5,4,2,5,4,5,4,5,5
TheFaultInOurStars_017.mp4,187,4,3,3,3,3,3,1,4,5,2,2,2,5,4,5,5,2,2
TheFaultInOurStars_018.mp4,188,3,3,4,3,5,4,5,4,3,2,4,4,5,4,5,2,4,3
TheFaultInOurStars_019.mp4,189,4,3,3,4,5,4,3,5,5,4,4,4,5,4,5,3,3,4
TheFaultInOurStars_020.mp4,190,3,3,4,4,4,3,5,5,5,4,2,2,5,2,3,4,4,5
TheFaultInOurStars_021.mp4,191,4,3,3,3,4,4,5,4,5,2,3,3,3,5,5,5,3,3
TheFaultInOurStars_022.mp4,192,3,4,4,4,3,3,5,4,3,3,1,1,5,4,4,3,2,2
TheFaultInOurStars_023.mp4,193,4,4,5,3,2,1,3,3,3,1,3,3,4,4,4,2,2,2
TheFaultInOurStars_024.mp4,194,5,4,4,1,5,4,3,5,4,3,3,3,4,4,4,2,3,2
TheFaultInOurStars_025.mp4,195,4,3,3,4,4,3,4,5,4,3,3,2,4,4,5,2,4,4
TheFaultInOurStars_026.mp4,196,3,3,4,3,4,3,4,5,5,2,3,3,5,4,5,4,2,3
TheFaultInOurStars_027.mp4,197,4,3,3,3,3,3,5,5,4,3,2,1,5,4,5,3,4,4
TheFaultInOurStars_028.mp4,198,3,3,3,3,3,4,4,5,5,1,3,3,5,3,5,4,4,3
TheFaultInOurStars_029.mp4,199,3,3,4,4,4,3,5,4,5,3,3,3,5,3,3,3,3,3
TheFaultInOurStars_030.mp4,200,4,5,5,3,4,5,5,5,5,3,3,3,3,4,4,3,4,3
TheFaultInOurStars_031.mp4,201,5,3,3,5,3,3,5,5,5,3,2,2,4,3,5,3,3,3
TheFaultInOurStars_032.mp4,202,3,4,4,3,4,2,5,4,4,2,3,3,5,2,2,3,4,4
TheFaultInOurStars_033.mp4,203,4,2,3,2,4,3,4,4,5,3,2,1,2,3,4,4,3,3
TheFaultInOurStars_034.mp4,204,3,3,4,3,3,3,5,4,4,1,2,1,4,4,4,3,4,4
TheFaultInOurStars_035.mp4,205,4,4,3,3,3,4,4,3,3,1,4,4,4,4,5,4,3,3
TheFaultInOurStars_036.mp4,206,3,3,3,4,5,5,3,4,4,4,4,4,5,5,5,3,4,5
TheFaultInOurStars_037.mp4,207,3,3,3,5,4,3,4,4,3,4,3,3,5,2,2,5,3,2
TheFaultInOurStars_038.mp4,208,3,4,4,3,4,3,3,4,3,3,1,2,2,3,4,2,4,4
TheFaultInOurStars_039.mp4,209,4,3,4,3,4,3,3,4,4,2,2,2,4,3,3,4,4,3
TheFaultInOurStars_040.mp4,210,4,3,3,3,3,3,4,5,5,2,3,2,3,4,5,3,4,5
TheFaultInOurStars_041.mp4,211,3,3,3,3,5,4,5,5,5,2,3,3,5,4,5,5,2,2
TheFaultInOurStars_042.mp4,212,3,3,3,4,4,3,5,4,4,3,1,1,5,3,4,2,3,3
TheFaultInOurStars_043.mp4,213,3,4,4,3,4,3,4,5,4,1,3,3,4,4,5,3,3,3
TheFaultInOurStars_044.mp4,214,4,3,3,3,4,4,4,5,4,3,2,3,5,4,4,3,3,4
TheFaultInOurStars_045.mp4,215,3,3,3,4,3,4,4,5,5,3,2,2,4,4,4,4,3,2
TheFaultInOurStars_046.mp4,216,3,2,3,4,4,3,5,4,5,2,2,1,4,4,4,2,2,2
TheFaultInOurStars_048.mp4,217,3,3,3,3,3,2,5,5,5,1,3,3,4,5,5,2,3,4
TheFaultInOurStars_049.mp4,218,3,4,4,2,4,5,5,5,5,3,3,3,5,4,3,4,4,5
TheFaultInOurStars_050.mp4,219,4,3,4,5,3,3,5,5,5,3,3,3,3,4,4,5,5,3
TheFaultInOurStars_051.mp4,220,4,2,3,3,3,3,5,5,5,3,2,2,4,5,5,3,4,4
TheFaultInOurStars_052.mp4,221,3,3,3,3,4,3,5,4,3,2,3,2,5,3,4,4,3,3
TheFaultInOurStars_053.mp4,222,3,4,4,3,4,5,3,5,4,2,4,5,4,4,3,3,3,3
TheFaultInOurStars_054.mp4,223,4,3,3,5,4,5,4,5,5,5,4,5,3,4,5,3,4,5
TheFaultInOurStars_055.mp4,224,3,3,3,5,5,4,5,4,4,5,3,5,5,5,5,5,3,4
TheFaultInOurStars_056.mp4,225,3,4,4,4,5,5,4,5,4,5,2,1,5,5,5,4,3,3
TheFaultInOurStars_057.mp4,226,4,3,3,5,4,5,4,4,4,1,4,4,5,4,5,3,3,3
TheFaultInOurStars_058.mp4,227,3,4,5,5,3,3,4,3,4,4,2,1,5,5,5,3,2,3
TheFaultInOurStars_059.mp4,228,5,3,3,3,3,2,4,4,4,1,2,2,5,2,2,3,3,4
TheFaultInOurStars_060.mp4,229,3,2,2,2,2,1,4,2,2,2,1,1,2,3,2,4,1,2
TheFaultInOurStars_061.mp4,230,2,4,3,1,3,2,2,4,3,1,2,1,2,2,2,2,2,1
TheFaultInOurStars_062.mp4,231,3,3,2,2,3,2,3,4,1,1,1,1,2,1,1,1,2,3
TheFaultInOurStars_063.mp4,232,2,3,2,2,2,1,1,4,3,1,2,2,1,4,4,3,2,2
TheFaultInOurStars_064.mp4,233,2,4,5,1,3,4,3,5,5,2,4,4,4,4,5,2,4,2
TheFaultInOurStars_065.mp4,234,5,3,3,4,2,2,5,4,3,4,1,1,5,5,5,2,2,1
TheFaultInOurStars_066.mp4,235,3,3,3,2,3,3,3,4,5,1,1,1,5,4,3,1,3,2
TheFaultInOurStars_067.mp4,236,3,5,5,3,3,4,5,5,5,1,2,1,3,5,5,2,4,4
TheFaultInOurStars_068.mp4,237,5,3,4,4,5,5,5,5,5,1,4,4,5,3,4,4,3,3
TheFaultInOurStars_069.mp4,238,4,3,3,5,3,3,5,4,4,4,1,1,4,3,3,3,2,3
TheFaultInOurStars_070.mp4,239,3,4,4,3,2,3,4,3,3,1,1,1,3,2,3,3,2,2
TheFaultInOurStars_071.mp4,240,4,4,4,3,3,2,3,4,3,1,4,4,3,4,3,2,4,4
TheFaultInOurStars_072.mp4,241,4,3,3,2,3,2,3,4,4,4,2,2,3,2,1,4,2,2
TheFaultInOurStars_073.mp4,242,3,3,2,2,4,3,4,5,5,2,1,1,1,3,5,2,2,2
TheFaultInOurStars_074.mp4,243,2,4,4,3,2,1,5,4,3,1,1,1,5,2,2,2,3,2
TheFaultInOurStars_075.mp4,244,4,3,3,1,3,2,3,4,3,1,2,2,2,3,3,2,2,2
TheFaultInOurStars_076.mp4,245,3,4,3,2,2,2,3,4,3,2,2,2,3,3,5,2,3,2
TheFaultInOurStars_077.mp4,246,3,4,4,2,2,1,3,1,2,2,4,4,5,1,1,2,4,2
TheSpectacularNow_023.mp4,247,4,3,2,1,2,1,2,3,3,4,1,1,1,4,4,2,3,3
TheSpectacularNow_068.mp4,248,2,2,2,1,3,4,3,3,2,1,1,1,4,2,3,3,1,2
TheTheoryOfEverything_001.mp4,249,2,3,3,4,3,3,2,4,3,1,2,2,3,4,4,2,3,2
TheTheoryOfEverything_003.mp4,250,3,4,4,3,2,1,3,4,3,2,2,1,4,3,3,2,2,2
TheTheoryOfEverything_005.mp4,251,4,3,2,1,3,2,3,5,4,1,2,2,3,3,3,2,3,2
TheTheoryOfEverything_009.mp4,252,2,3,3,2,3,3,4,5,3,2,2,2,3,4,5,2,3,3
TheTheoryOfEverything_012.mp4,253,3,4,4,3,5,4,3,5,4,2,4,4,5,5,4,3,4,4
TheTheoryOfEverything_016.mp4,254,4,4,4,4,5,4,4,5,5,4,4,5,4,5,4,4,4,4
TheTheoryOfEverything_018.mp4,255,4,2,2,4,2,1,5,3,2,5,1,1,4,2,3,4,2,2
TheTheoryOfEverything_021.mp4,256,2,4,4,1,4,3,2,4,2,1,2,1,3,4,4,2,4,4
TheTheoryOfEverything_022.mp4,257,4,4,4,3,4,4,2,4,3,1,4,4,4,4,4,4,3,3
