clip_id,audio_useful,video_useful
AboutTime_098,1,0
AboutTime_099,0,0
AboutTime_100,0,0
AboutTime_101,1,1
AboutTime_102,0,1
AboutTime_103,0,0
AboutTime_104,0,0
AboutTime_105,0,1
AboutTime_106,1,1
AboutTime_107,0,1
AboutTime_108,0,0
AboutTime_109,0,1
AboutTime_110,0,0
AboutTime_111,1,0
AboutTime_112,0,0
AboutTime_113,0,1
AboutTime_114,1,1
AboutTime_115,1,0
AboutTime_116,1,0
AboutTime_117,0,1
AboutTime_118,1,0
AboutTime_119,1,1
AboutTime_120,0,0
AboutTime_121,0,0
AboutTime_122,1,1
AboutTime_123,0,1
AboutTime_124,0,1
AboutTime_125,1,0
AboutTime_126,1,0
AboutTime_127,0,0
AboutTime_128,0,0
AboutTime_129,0,0
AboutTime_130,0,1
AboutTime_131,0,0
AboutTime_132,1,1
AboutTime_133,0,1
AboutTime_134,0,0
AboutTime_135,0,1
AboutTime_136,0,1
Gifted_000,0,0
Gifted_001,0,0
Gifted_002,0,0
Gifted_003,0,0
Gifted_004,0,0
Gifted_005,1,0
Gifted_006,1,0
Gifted_007,0,0
Gifted_008,0,0
Gifted_009,1,0
Gifted_010,1,0
Gifted_011,1,1
Gifted_012,1,0
Gifted_013,1,0
Gifted_014,1,0
Gifted_015,1,1
Gifted_016,1,1
Gifted_017,1,0
Gifted_018,0,1
Gifted_019,1,1
Gifted_020,1,1
Gifted_021,1,0
Gifted_022,1,0
Gifted_023,0,0
Gifted_024,0,0
Gifted_025,0,0
Gifted_026,0,0
Gifted_027,1,1
Gifted_028,0,1
Gifted_029,0,0
Gifted_030,1,0
Gifted_031,1,0
Gifted_032,1,0
Gifted_033,1,0
Gifted_034,1,0
Gifted_035,1,0
Gifted_036,1,0
Gifted_037,1,0
Gifted_038,1,0
Gifted_039,1,0
Gifted_040,0,0
Gifted_041,1,0
Gifted_042,0,1
Gifted_043,1,1
Gifted_044,0,0
Gifted_045,1,0
Gifted_046,1,0
Gifted_047,1,0
Gifted_048,1,0
Gifted_049,0,0
Gifted_050,0,0
Gifted_051,0,0
Gifted_052,0,0
Gifted_053,0,1
Gifted_054,1,0
Gifted_055,1,1
Gifted_056,1,0
Gifted_057,1,1
Gifted_058,1,0
Gifted_059,1,0
Gifted_060,1,0
Gifted_061,1,0
Gifted_062,0,0
Gifted_063,1,1
Gifted_064,1,0
Gifted_065,0,1
Gifted_066,0,1
LadyBird_000,1,0
LadyBird_001,1,0
LadyBird_002,1,0
LadyBird_003,1,0
LadyBird_004,1,0
LadyBird_005,0,0
LadyBird_006,0,0
LadyBird_007,0,0
LadyBird_008,1,0
LadyBird_009,1,0
LadyBird_010,0,0
LadyBird_011,0,0
LadyBird_012,0,0
LadyBird_013,0,0
LadyBird_014,0,0
LadyBird_015,1,0
LadyBird_016,1,0
LadyBird_017,1,0
LadyBird_018,0,0
LadyBird_019,0,0
LadyBird_020,1,0
LadyBird_021,1,1
LadyBird_022,0,1
LadyBird_023,1,0
LadyBird_024,0,1
LadyBird_025,1,1
LadyBird_026,1,1
LadyBird_027,0,0
LadyBird_028,0,0
LadyBird_029,0,1
LadyBird_030,0,1
LadyBird_031,1,0
LadyBird_032,1,0
LadyBird_033,1,0
LadyBird_034,0,0
LadyBird_035,0,0
LadyBird_036,0,0
LadyBird_037,0,0
LadyBird_038,0,0
LadyBird_039,1,0
LadyBird_040,1,1
LadyBird_041,1,1
LadyBird_042,0,0
LadyBird_043,0,1
LadyBird_044,1,0
LadyBird_045,0,0
LadyBird_046,0,0
LadyBird_047,0,0
LadyBird_048,1,0
LadyBird_049,0,0
LadyBird_050,0,0
LadyBird_051,0,1
LadyBird_052,0,0
LadyBird_053,1,0
LadyBird_054,0,0
LadyBird_055,1,0
LadyBird_056,0,0
LadyBird_057,0,0
LadyBird_058,1,0
LadyBird_059,1,0
LadyBird_060,1,0
LadyBird_061,1,0
LadyBird_062,1,1
LadyBird_063,1,1
LadyBird_064,0,0
LadyBird_065,1,1
LadyBird_066,0,0
LadyBird_067,0,1
LadyBird_068,0,1
LadyBird_069,1,0
LadyBird_070,0,0
LadyBird_071,0,0
LadyBird_072,0,0
LadyBird_073,0,0
LadyBird_074,1,0
LadyBird_075,1,0
LadyBird_076,1,0
LadyBird_077,1,0
LadyBird_078,1,0
LadyBird_079,1,0
LadyBird_080,1,0
LadyBird_081,0,0
LadyBird_082,1,0
LadyBird_083,1,0
LadyBird_084,1,0
LadyBird_085,0,0
LadyBird_086,0,0
LadyBird_087,1,0
LadyBird_088,1,0
LadyBird_089,1,1
LadyBird_090,1,0
LadyBird_091,1,1
LadyBird_092,1,0
LadyBird_093,0,0
LadyBird_094,0,0
LadyBird_095,1,0
LadyBird_096,1,1
LadyBird_097,1,0
LadyBird_098,1,1
LadyBird_099,0,1
LadyBird_100,0,0
LadyBird_101,0,0
LadyBird_102,0,1
LadyBird_103,0,1
LadyBird_104,1,0
LadyBird_105,0,0
LadyBird_106,1,0
LadyBird_107,0,1
LadyBird_108,0,1
LadyBird_109,0,0
LadyBird_110,0,0
LadyBird_111,0,0
LadyBird_112,0,0
LadyBird_113,0,0
TheBlindSide_000,1,0
TheBlindSide_001,1,0
TheBlindSide_002,1,0
TheBlindSide_003,1,0
TheBlindSide_004,1,0
TheBlindSide_005,1,1
TheBlindSide_006,1,0
TheBlindSide_007,1,0
TheBlindSide_008,1,1
TheBlindSide_009,1,0
TheBlindSide_010,0,0
TheBlindSide_011,0,0
TheBlindSide_012,1,0
TheBlindSide_013,1,0
TheBlindSide_014,1,0
TheBlindSide_015,1,0
TheBlindSide_016,0,0
TheBlindSide_017,0,0
TheBlindSide_018,1,0
TheBlindSide_019,1,0
TheBlindSide_020,1,0
TheBlindSide_021,1,0
TheBlindSide_022,1,0
TheBlindSide_023,1,0
TheBlindSide_024,1,0
TheBlindSide_025,1,0
TheBlindSide_026,1,0
TheBlindSide_027,1,0
TheBlindSide_028,1,0
TheBlindSide_029,0,1
TheBlindSide_030,1,0
TheBlindSide_031,1,0
TheBlindSide_032,1,0
TheBlindSide_033,1,0
TheBlindSide_034,1,0
TheBlindSide_035,1,0
TheBlindSide_036,1,0
TheBlindSide_037,1,0
TheBlindSide_038,1,0
TheBlindSide_039,1,0
TheBlindSide_040,1,1
TheBlindSide_041,0,0
TheBlindSide_042,0,0
TheBlindSide_043,1,0
TheBlindSide_044,1,0
TheBlindSide_045,0,0
TheBlindSide_046,1,0
TheBlindSide_047,1,0
TheBlindSide_048,0,1
TheBlindSide_049,1,0
TheBlindSide_050,1,0
TheBlindSide_051,1,0
TheBlindSide_052,0,0
TheBlindSide_053,0,1
TheBlindSide_054,1,0
TheBlindSide_055,1,0
TheBlindSide_056,0,0
TheBlindSide_057,1,0
TheBlindSide_058,1,1
TheBlindSide_059,0,1
TheBlindSide_060,0,1
TheBlindSide_061,0,0
TheBlindSide_062,1,0
TheBlindSide_063,1,0
TheBlindSide_064,0,1
TheBlindSide_065,0,0
TheBlindSide_066,1,1
TheBlindSide_067,1,0
TheBlindSide_068,1,0
TheBlindSide_069,1,0
TheBlindSide_070,1,0
TheBlindSide_071,1,1
TheBlindSide_072,0,1
TheBlindSide_073,1,1
TheBlindSide_074,1,0
TheBlindSide_075,0,0
TheBlindSide_076,1,0
TheBlindSide_077,1,0
TheBlindSide_078,1,0
TheBlindSide_079,0,1
TheBlindSide_080,0,0
TheBlindSide_081,1,0
TheBlindSide_082,1,0
TheBlindSide_083,1,0
TheBlindSide_084,1,0
TheBlindSide_085,0,0
TheBlindSide_086,1,0
TheBlindSide_087,1,0
TheBlindSide_088,1,0
TheBlindSide_089,1,0
TheBlindSide_090,1,1
TheBlindSide_091,1,1
TheBlindSide_092,1,0
TheBlindSide_093,0,0
TheFaultInOurStars_000,0,0
TheFaultInOurStars_001,0,0
TheFaultInOurStars_002,0,1
TheFaultInOurStars_003,1,1
TheFaultInOurStars_004,1,0
TheFaultInOurStars_005,1,1
TheFaultInOurStars_006,1,0
TheFaultInOurStars_007,1,1
TheFaultInOurStars_008,0,1
TheFaultInOurStars_009,0,0
TheFaultInOurStars_010,1,0
TheFaultInOurStars_011,1,0
TheFaultInOurStars_012,1,1
TheFaultInOurStars_013,0,1
TheFaultInOurStars_014,1,0
TheFaultInOurStars_015,1,1
TheFaultInOurStars_016,1,0
TheFaultInOurStars_017,0,0
TheFaultInOurStars_018,1,0
TheFaultInOurStars_019,0,1
TheFaultInOurStars_020,0,1
TheFaultInOurStars_021,0,0
TheFaultInOurStars_022,0,1
TheFaultInOurStars_023,0,1
TheFaultInOurStars_024,1,1
TheFaultInOurStars_025,1,1
TheFaultInOurStars_026,0,1
TheFaultInOurStars_027,0,1
TheFaultInOurStars_028,1,0
TheFaultInOurStars_029,0,0
TheFaultInOurStars_030,0,1
TheFaultInOurStars_031,0,1
TheFaultInOurStars_032,1,0
TheFaultInOurStars_033,0,1
TheFaultInOurStars_034,1,1
TheFaultInOurStars_035,1,1
TheFaultInOurStars_036,0,1
TheFaultInOurStars_037,1,1
TheFaultInOurStars_038,0,0
TheFaultInOurStars_039,0,0
TheFaultInOurStars_040,0,1
TheFaultInOurStars_041,0,1
TheFaultInOurStars_042,0,0
TheFaultInOurStars_043,1,0
TheFaultInOurStars_044,0,0
TheFaultInOurStars_045,1,0
TheFaultInOurStars_046,0,0
TheFaultInOurStars_047,0,1
TheFaultInOurStars_048,0,1
TheFaultInOurStars_049,0,1
TheFaultInOurStars_050,0,1
TheFaultInOurStars_051,1,1
TheFaultInOurStars_052,1,0
TheFaultInOurStars_053,0,0
TheFaultInOurStars_054,1,0
TheFaultInOurStars_055,0,0
TheFaultInOurStars_056,0,0
TheFaultInOurStars_057,0,0
TheFaultInOurStars_058,0,1
TheFaultInOurStars_059,0,0
TheFaultInOurStars_060,1,0
TheFaultInOurStars_061,0,1
TheFaultInOurStars_062,0,1
TheFaultInOurStars_063,1,0
TheFaultInOurStars_064,0,0
TheFaultInOurStars_065,0,0
TheFaultInOurStars_066,0,0
TheFaultInOurStars_067,1,0
TheFaultInOurStars_068,0,0
TheFaultInOurStars_069,0,1
TheFaultInOurStars_070,1,0
TheFaultInOurStars_071,1,0
TheFaultInOurStars_072,0,0
TheFaultInOurStars_073,0,0
TheFaultInOurStars_074,1,1
TheFaultInOurStars_075,0,1
TheFaultInOurStars_076,0,1
TheFaultInOurStars_077,0,0
TheJudge_000,1,0
TheJudge_001,0,1
TheJudge_002,1,0
TheJudge_003,0,0
TheJudge_004,1,0
TheJudge_005,1,0
TheJudge_006,0,0
TheJudge_007,1,0
TheJudge_008,1,0
TheJudge_009,1,0
TheJudge_010,1,0
TheJudge_011,1,0
TheJudge_012,0,1
TheJudge_013,1,0
TheJudge_014,1,0
TheJudge_015,1,0
TheJudge_016,1,0
TheJudge_017,0,0
TheJudge_018,1,1
TheJudge_019,0,0
TheJudge_020,1,0
TheJudge_021,1,0
TheJudge_022,1,0
TheJudge_023,1,1
TheJudge_024,1,0
TheJudge_025,1,0
TheJudge_026,1,1
TheJudge_027,0,1
TheJudge_028,0,0
TheJudge_029,0,0
TheJudge_030,1,0
TheJudge_031,1,0
TheJudge_032,1,0
TheJudge_033,0,1
TheJudge_034,1,1
TheJudge_035,0,0
TheJudge_036,1,0
TheJudge_037,1,0
TheJudge_038,1,1
TheJudge_039,1,1
TheJudge_040,1,0
TheJudge_041,0,0
TheJudge_042,1,0
TheJudge_043,1,0
TheJudge_044,1,0
TheJudge_045,1,0
TheJudge_046,0,1
TheJudge_047,0,0
TheJudge_048,0,1
TheJudge_049,0,0
TheJudge_050,0,1
TheJudge_051,1,1
TheJudge_052,1,1
TheJudge_053,0,0
TheJudge_054,1,0
TheJudge_055,1,0
TheJudge_056,1,0
TheJudge_057,1,1
TheJudge_058,1,1
TheJudge_059,1,1
TheJudge_060,1,1
TheJudge_061,1,0
TheJudge_062,1,0
TheJudge_063,1,0
TheJudge_064,1,1
TheJudge_065,0,0
TheJudge_066,1,0
TheJudge_067,1,0
TheJudge_068,0,0
TheJudge_069,1,0
TheJudge_070,1,0
TheJudge_071,1,0
TheJudge_072,1,0
TheJudge_073,1,0
TheJudge_074,1,0
TheJudge_075,0,0
TheJudge_076,1,0
TheJudge_077,1,1
TheJudge_078,1,0
TheJudge_079,0,0
TheJudge_080,1,1
TheJudge_081,1,0
TheJudge_082,1,0
TheJudge_083,0,0
TheJudge_084,0,0
TheJudge_085,1,0
TheJudge_086,0,1
TheJudge_087,1,1
TheJudge_088,1,1
TheJudge_089,1,0
TheJudge_090,1,0
TheJudge_091,0,0
TheJudge_092,0,0
TheJudge_093,0,0
TheJudge_094,0,1
TheJudge_095,1,1
TheJudge_096,0,0
TheJudge_097,1,1
TheJudge_098,0,1
TheJudge_099,1,1
TheJudge_100,1,0
TheJudge_101,1,0
TheJudge_102,0,0
TheJudge_103,0,1
TheJudge_104,0,0
TheJudge_105,1,0
TheJudge_106,1,0
TheJudge_107,1,1
TheJudge_108,1,0
TheJudge_109,1,0
TheJudge_110,1,0
TheJudge_111,1,0
TheJudge_112,1,0
TheJudge_113,1,1
TheJudge_114,1,0
TheJudge_115,0,1
TheJudge_116,0,0
TheJudge_117,1,1
TheJudge_118,1,0
TheJudge_119,1,0
TheJudge_120,1,1
TheJudge_121,1,0
TheJudge_122,0,0
TheJudge_123,1,1
TheJudge_124,1,1
TheJudge_125,1,0
TheJudge_126,1,0
TheJudge_127,1,0
TheJudge_128,1,1
TheJudge_129,1,0
TheJudge_130,1,0
TheJudge_131,0,0
TheJudge_132,0,0
TheJudge_133,0,0
TheJudge_134,0,0
TheJudge_135,0,0
TheJudge_136,0,0
TheJudge_137,1,1
TheJudge_138,1,1
TheJudge_139,1,1
TheJudge_140,1,1
TheJudge_141,1,0
TheJudge_142,1,1
TheJudge_143,0,1
TheJudge_144,1,0
TheJudge_145,0,0
TheJudge_146,1,0
TheJudge_147,1,0
TheJudge_148,0,1
TheJudge_149,0,0
TheJudge_150,0,1
TheJudge_151,1,0
TheJudge_152,1,0
TheJudge_153,0,0
TheSpectacularNow_000,0,0
TheSpectacularNow_001,0,0
TheSpectacularNow_002,0,0
TheSpectacularNow_003,0,0
TheSpectacularNow_004,0,0
TheSpectacularNow_005,0,1
TheSpectacularNow_006,1,0
TheSpectacularNow_007,1,0
TheSpectacularNow_008,1,0
TheSpectacularNow_009,1,0
TheSpectacularNow_010,1,1
TheSpectacularNow_011,0,1
TheSpectacularNow_012,1,0
TheSpectacularNow_013,1,0
TheSpectacularNow_014,1,1
TheSpectacularNow_015,1,1
TheSpectacularNow_016,1,0
TheSpectacularNow_017,1,0
TheSpectacularNow_018,1,0
TheSpectacularNow_019,0,0
TheSpectacularNow_020,1,1
TheSpectacularNow_021,1,0
TheSpectacularNow_022,1,1
TheSpectacularNow_023,1,0
TheSpectacularNow_024,1,1
TheSpectacularNow_025,0,0
TheSpectacularNow_026,1,0
TheSpectacularNow_027,1,1
TheSpectacularNow_028,1,1
TheSpectacularNow_029,1,1
TheSpectacularNow_030,0,1
TheSpectacularNow_031,0,0
TheSpectacularNow_032,0,0
TheSpectacularNow_033,0,0
TheSpectacularNow_034,1,1
TheSpectacularNow_035,0,0
TheSpectacularNow_036,0,0
TheSpectacularNow_037,1,0
TheSpectacularNow_038,1,0
TheSpectacularNow_039,0,0
TheSpectacularNow_040,0,1
TheSpectacularNow_041,0,0
TheSpectacularNow_042,1,1
TheSpectacularNow_043,0,1
TheSpectacularNow_044,1,0
TheSpectacularNow_045,1,0
TheSpectacularNow_046,1,0
TheSpectacularNow_047,0,1
TheSpectacularNow_048,1,0
TheSpectacularNow_049,1,0
TheSpectacularNow_050,1,0
TheSpectacularNow_051,1,1
TheSpectacularNow_052,1,0
TheSpectacularNow_053,1,0
TheSpectacularNow_054,1,0
TheSpectacularNow_055,0,0
TheSpectacularNow_056,1,0
TheSpectacularNow_057,1,0
TheSpectacularNow_058,1,1
TheSpectacularNow_059,1,1
TheSpectacularNow_060,1,0
TheSpectacularNow_061,0,0
TheSpectacularNow_062,1,0
TheSpectacularNow_063,1,0
TheSpectacularNow_064,1,0
TheSpectacularNow_065,0,0
TheSpectacularNow_066,1,0
TheSpectacularNow_067,1,0
TheSpectacularNow_068,0,0
TheSpectacularNow_069,0,0
TheSpectacularNow_070,0,0
TheSpectacularNow_071,0,0
TheSpectacularNow_072,0,0
TheSpectacularNow_073,0,1
TheSpectacularNow_074,0,0
TheSpectacularNow_075,1,0
TheSpectacularNow_076,0,1
TheSpectacularNow_077,0,0
TheSpectacularNow_078,1,0
TheSpectacularNow_079,1,0
TheSpectacularNow_080,1,0
TheSpectacularNow_081,1,0
TheSpectacularNow_082,0,0
TheTheoryOfEverything_000,0,1
TheTheoryOfEverything_001,0,0
TheTheoryOfEverything_002,0,0
TheTheoryOfEverything_003,1,0
TheTheoryOfEverything_004,1,0
TheTheoryOfEverything_005,1,1
TheTheoryOfEverything_006,1,1
TheTheoryOfEverything_007,0,1
TheTheoryOfEverything_008,0,1
TheTheoryOfEverything_009,0,0
TheTheoryOfEverything_010,0,0
TheTheoryOfEverything_011,0,0
TheTheoryOfEverything_012,0,0
TheTheoryOfEverything_013,0,0
TheTheoryOfEverything_014,0,1
TheTheoryOfEverything_015,0,0
TheTheoryOfEverything_016,1,1
TheTheoryOfEverything_017,1,1
TheTheoryOfEverything_018,0,1
TheTheoryOfEverything_019,0,1
TheTheoryOfEverything_020,0,1
TheTheoryOfEverything_021,0,0
TheTheoryOfEverything_022,1,0
TheTheoryOfEverything_023,0,0
TheTheoryOfEverything_024,0,1
TheTheoryOfEverything_025,0,0
TheTheoryOfEverything_026,0,0
TheTheoryOfEverything_027,0,0
TheTheoryOfEverything_028,0,0
TheTheoryOfEverything_029,0,1
TheTheoryOfEverything_030,0,0
TheTheoryOfEverything_031,0,0
TheTheoryOfEverything_032,1,0
TheTheoryOfEverything_033,0,0
TheTheoryOfEverything_034,0,0
TheTheoryOfEverything_035,0,1
TheTheoryOfEverything_036,0,0
TheTheoryOfEverything_037,1,0
TheTheoryOfEverything_038,0,0
TheTheoryOfEverything_039,1,1
TheTheoryOfEverything_040,0,0
TheTheoryOfEverything_041,0,1
TheTheoryOfEverything_042,1,0
TheTheoryOfEverything_043,0,0
TheTheoryOfEverything_044,0,1
TheTheoryOfEverything_045,0,0
TheTheoryOfEverything_046,1,1
TheTheoryOfEverything_047,0,1
TheTheoryOfEverything_048,1,0
TheTheoryOfEverything_049,0,0
TheTheoryOfEverything_050,0,0
TheTheoryOfEverything_051,0,0
TheTheoryOfEverything_052,0,0
TheTheoryOfEverything_053,0,0
TheTheoryOfEverything_054,0,1
TheTheoryOfEverything_055,0,1
TheTheoryOfEverything_056,0,1
TheTheoryOfEverything_057,1,0
TheTheoryOfEverything_058,0,1
Wonder_000,0,0
Wonder_001,0,0
Wonder_002,1,1
Wonder_003,1,0
Wonder_004,1,0
Wonder_005,1,0
Wonder_006,0,1
Wonder_007,0,0
Wonder_008,1,1
Wonder_009,0,0
Wonder_010,1,0
Wonder_011,1,0
Wonder_012,0,0
Wonder_013,1,0
Wonder_014,0,0
Wonder_015,1,0
Wonder_016,1,0
Wonder_017,0,0
Wonder_018,1,0
Wonder_019,1,0
Wonder_020,1,0
Wonder_021,1,0
Wonder_022,1,0
Wonder_023,1,1
Wonder_024,1,0
Wonder_025,0,1
Wonder_026,0,0
Wonder_027,0,0
Wonder_028,0,0
Wonder_029,1,0
Wonder_030,1,0
Wonder_031,1,0
Wonder_032,0,0
Wonder_033,1,0
Wonder_034,0,0
Wonder_035,1,0
Wonder_036,0,0
Wonder_037,1,0
Wonder_038,1,0
Wonder_039,1,0
Wonder_040,0,1
Wonder_041,1,0
Wonder_042,1,1
Wonder_043,0,0
Wonder_044,0,0
Wonder_045,0,0
Wonder_046,0,0
Wonder_047,0,0
Wonder_048,0,1
Wonder_049,1,1
Wonder_050,1,1
Wonder_051,0,1
Wonder_052,1,0
Wonder_053,1,0
Wonder_054,1,0
Wonder_055,1,0
Wonder_056,0,0
Wonder_057,1,0
Wonder_058,1,0
Wonder_059,1,0
Wonder_060,1,0
Wonder_061,1,1
Wonder_062,1,0
Wonder_063,0,0
Wonder_064,1,0
Wonder_065,1,0
Wonder_066,1,0
Wonder_067,1,0
Wonder_068,0,1
Wonder_069,0,0
Wonder_070,1,0
Wonder_071,1,0
Wonder_072,1,0
Wonder_073,1,0
Wonder_074,1,0
Wonder_075,1,0
Wonder_076,1,0
Wonder_077,1,0
Wonder_078,0,0
Wonder_079,0,0
Wonder_080,0,0
Wonder_081,1,1
Wonder_082,0,1
Wonder_083,1,0
Wonder_084,1,0
Wonder_085,1,0
Wonder_086,1,0
Wonder_087,0,1
Wonder_088,0,0
Wonder_089,1,0
Wonder_090,0,0
Wonder_091,1,0
Wonder_092,0,0
Wonder_093,1,0
Wonder_094,1,0
Wonder_095,1,0
Wonder_096,1,0
Wonder_097,1,0
Wonder_098,0,0
Wonder_099,1,0
Wonder_100,1,0
Wonder_101,1,0
Wonder_102,1,0
Wonder_103,1,0
Wonder_104,1,0
Wonder_105,1,0
Wonder_106,1,0
Wonder_107,0,0
Wonder_108,1,0
Wonder_109,0,0
Wonder_110,0,0
Wonder_111,0,0
Wonder_112,1,1
Wonder_113,1,0
Wonder_114,1,0
Wonder_115,1,0
Wonder_116,1,0
Wonder_117,1,1
Wonder_118,1,0
Wonder_119,0,0
Wonder_120,0,0
Wonder_121,0,1
Wonder_122,0,0
Wonder_123,1,1
Wonder_124,1,1
Wonder_125,1,0
Wonder_126,0,1
Wonder_127,0,0
Wonder_128,1,1
Wonder_129,0,0
Wonder_130,0,1
Wonder_131,0,1
Wonder_132,1,0
Wonder_133,1,1
Wonder_134,1,1
Wonder_135,0,0
Wonder_136,1,1
Wonder_137,1,1
Wonder_138,1,0
Wonder_139,1,0
Wonder_140,1,0
Wonder_141,0,0
Wonder_142,0,0
Wonder_143,1,1
Wonder_144,1,0
Wonder_145,0,0
Wonder_146,1,0
Wonder_147,1,0
Wonder_148,1,0
Wonder_149,1,0
Wonder_150,1,0
Wonder_151,0,1
Wonder_152,0,0
Wonder_153,0,1
Wonder_154,0,1
0,1,0
