clip_id,p_value,e_value,i_value
TheFaultInOurStars_014,3.333,4.2,3.333
TheFaultInOurStars_015,3.5,3.64,3.167
TheFaultInOurStars_016,3.5,4.2,2.667
TheFaultInOurStars_018,4.333,3.72,4.333
TheFaultInOurStars_019,4.5,4.24,4.667
TheFaultInOurStars_020,4.333,4.36,4.0
TheFaultInOurStars_022,4.5,4.36,4.5
TheFaultInOurStars_023,4.333,4.64,4.167
TheFaultInOurStars_024,4.0,3.68,4.333
TheFaultInOurStars_025,4.5,3.68,4.333
TheFaultInOurStars_026,4.0,4.12,4.0
TheFaultInOurStars_027,4.667,4.0,4.333
TheFaultInOurStars_028,4.5,4.2,4.0
TheFaultInOurStars_030,4.5,4.76,4.5
TheFaultInOurStars_031,4.0,3.36,4.0
TheFaultInOurStars_032,2.833,3.48,2.833
TheFaultInOurStars_033,3.833,3.36,3.5
TheFaultInOurStars_034,4.333,4.36,4.333
TheFaultInOurStars_035,4.167,4.36,4.167
TheFaultInOurStars_036,4.5,4.52,4.333
TheFaultInOurStars_037,3.5,3.64,3.0
TheFaultInOurStars_040,4.833,4.52,4.833
TheFaultInOurStars_041,4.667,4.52,4.333
TheFaultInOurStars_043,4.5,3.8,4.0
TheFaultInOurStars_045,4.333,4.2,4.5
TheFaultInOurStars_048,4.5,4.76,4.5
TheFaultInOurStars_049,4.5,4.52,4.5
TheFaultInOurStars_050,4.667,4.52,4.667
TheFaultInOurStars_051,4.167,4.24,4.0
TheFaultInOurStars_054,4.5,3.68,4.333
TheFaultInOurStars_058,4.167,4.0,4.0
TheFaultInOurStars_061,2.167,1.24,2.0
TheFaultInOurStars_062,2.833,2.24,3.0
TheFaultInOurStars_063,3.667,3.68,3.333
TheFaultInOurStars_067,4.5,3.68,4.667
TheFaultInOurStars_069,3.333,2.36,3.333
TheFaultInOurStars_071,2.833,3.8,2.667
TheFaultInOurStars_074,3.167,2.36,3.0
TheFaultInOurStars_075,4.0,3.76,3.667
TheFaultInOurStars_076,4.167,3.64,4.0
TheSpectacularNow_023,3.167,3.52,2.833
TheTheoryOfEverything_003,3.333,4.2,3.333
TheTheoryOfEverything_005,3.833,3.8,3.333
TheTheoryOfEverything_016,4.5,4.52,4.5
TheTheoryOfEverything_022,4.167,4.2,4.333
TheTheoryOfEverything_037,3.333,4.2,3.333
TheTheoryOfEverything_039,2.167,1.88,1.833
TheTheoryOfEverything_041,2.667,2.24,2.5
TheTheoryOfEverything_042,2.5,3.48,2.0
TheTheoryOfEverything_048,3.5,3.68,3.5
TheTheoryOfEverything_054,4.0,3.88,3.833
TheTheoryOfEverything_057,4.0,4.2,3.5
