Threshold,Dimension,Source,Modality,H1_Match,H2_Feel,H3_Drift,H4_CBT,H5_Chaos,Total,Model
0.5,valence,TRUTH,AUDIO,42,23,43,6,1,115,qwen
0.5,valence,BODY,INTERSECT,0,0,0,0,0,0,qwen
0.5,valence,TRUTH,INTERSECT,0,0,0,0,0,0,qwen
0.5,valence,BODY,VIDEO,92,49,51,69,13,274,llama4
0.5,valence,TRUTH,VIDEO,74,18,37,8,1,138,llama4
0.5,valence,BODY,AUDIO,82,80,61,20,31,274,llama4
0.5,valence,TRUTH,AUDIO,68,21,43,5,1,138,llama4
0.5,valence,BODY,INTERSECT,0,0,0,0,0,0,llama4
0.5,valence,TRUTH,INTERSECT,0,0,0,0,0,0,llama4
0.5,arousal,SELF,VIDEO,55,179,14,4,22,274,
0.5,arousal,SELF,AUDIO,107,127,22,5,13,274,
0.5,arousal,BODY,VIDEO,43,26,69,81,55,274,llama
0.5,arousal,TRUTH,VIDEO,29,11,42,6,6,94,llama
0.5,arousal,BODY,AUDIO,45,84,67,18,60,274,llama
0.5,arousal,TRUTH,AUDIO,27,11,44,5,7,94,llama
0.5,arousal,BODY,INTERSECT,2,1,2,0,1,6,llama
0.5,arousal,TRUTH,INTERSECT,2,0,1,0,0,3,llama
0.5,arousal,BODY,VIDEO,18,47,122,12,65,264,qwen
0.5,arousal,TRUTH,VIDEO,15,10,87,1,13,126,qwen
0.5,arousal,BODY,AUDIO,73,52,67,26,46,264,qwen
0.5,arousal,TRUTH,AUDIO,49,14,53,5,5,126,qwen
0.5,arousal,BODY,INTERSECT,1,2,1,0,2,6,qwen
0.5,arousal,TRUTH,INTERSECT,1,0,1,0,0,2,qwen
0.5,arousal,BODY,VIDEO,39,30,88,62,55,274,llama4
0.5,arousal,TRUTH,VIDEO,33,10,55,5,9,112,llama4
0.5,arousal,BODY,AUDIO,49,80,78,17,50,274,llama4
0.5,arousal,TRUTH,AUDIO,31,14,57,5,5,112,llama4
0.5,arousal,BODY,INTERSECT,1,2,2,0,1,6,llama4
0.5,arousal,TRUTH,INTERSECT,1,1,1,0,0,3,llama4
0.75,valence,SELF,VIDEO,182,86,5,1,0,274,
0.75,valence,SELF,AUDIO,193,75,4,2,0,274,
0.75,valence,BODY,VIDEO,96,91,45,32,10,274,llama
0.75,valence,TRUTH,VIDEO,86,32,28,7,0,153,llama
0.75,valence,BODY,AUDIO,82,115,59,11,7,274,llama
0.75,valence,TRUTH,AUDIO,72,35,42,3,1,153,llama
0.75,valence,BODY,INTERSECT,0,0,0,0,0,0,llama
0.75,valence,TRUTH,INTERSECT,0,0,0,0,0,0,llama
0.75,valence,BODY,VIDEO,113,68,42,39,2,264,qwen
0.75,valence,TRUTH,VIDEO,99,29,31,6,0,165,qwen
0.75,valence,BODY,AUDIO,105,86,50,11,12,264,qwen
0.75,valence,TRUTH,AUDIO,91,31,39,3,1,165,qwen
0.75,valence,BODY,INTERSECT,0,0,0,0,0,0,qwen
0.75,valence,TRUTH,INTERSECT,0,0,0,0,0,0,qwen
0.75,valence,BODY,VIDEO,147,40,36,51,0,274,llama4
0.75,valence,TRUTH,VIDEO,134,11,26,7,0,178,llama4
0.75,valence,BODY,AUDIO,133,64,50,9,18,274,llama4
0.75,valence,TRUTH,AUDIO,122,16,38,1,1,178,llama4
0.75,valence,BODY,INTERSECT,0,0,0,0,0,0,llama4
0.75,valence,TRUTH,INTERSECT,0,0,0,0,0,0,llama4
0.75,arousal,SELF,VIDEO,92,165,8,0,9,274,
0.75,arousal,SELF,AUDIO,150,107,11,2,4,274,
0.75,arousal,BODY,VIDEO,84,16,84,84,6,274,llama
0.75,arousal,TRUTH,VIDEO,70,10,53,6,1,140,llama
0.75,arousal,BODY,AUDIO,89,72,79,12,22,274,llama
0.75,arousal,TRUTH,AUDIO,60,11,63,3,3,140,llama
0.75,arousal,BODY,INTERSECT,2,1,2,1,0,6,llama
0.75,arousal,TRUTH,INTERSECT,2,1,2,0,0,5,llama
0.75,arousal,BODY,VIDEO,41,55,133,20,15,264,qwen
0.75,arousal,TRUTH,VIDEO,35,16,110,5,4,170,qwen
0.75,arousal,BODY,AUDIO,108,47,66,23,20,264,qwen
0.75,arousal,TRUTH,AUDIO,91,15,54,4,6,170,qwen
0.75,arousal,BODY,INTERSECT,1,2,2,0,1,6,qwen
0.75,arousal,TRUTH,INTERSECT,1,0,2,0,0,3,qwen
0.75,arousal,BODY,VIDEO,74,26,96,64,14,274,llama4
0.75,arousal,TRUTH,VIDEO,68,13,64,5,0,150,llama4
0.75,arousal,BODY,AUDIO,92,69,78,16,19,274,llama4
0.75,arousal,TRUTH,AUDIO,65,11,67,5,2,150,llama4
0.75,arousal,BODY,INTERSECT,1,2,2,0,1,6,llama4
0.75,arousal,TRUTH,INTERSECT,1,1,2,0,0,4,llama4
1.0,valence,SELF,VIDEO,224,50,0,0,0,274,
1.0,valence,SELF,AUDIO,226,48,0,0,0,274,
1.0,valence,BODY,VIDEO,168,56,35,13,2,274,llama
1.0,valence,TRUTH,VIDEO,161,16,30,0,0,207,llama
1.0,valence,BODY,AUDIO,165,61,38,7,3,274,llama
1.0,valence,TRUTH,AUDIO,155,14,36,2,0,207,llama
1.0,valence,BODY,INTERSECT,0,0,0,0,0,0,llama
1.0,valence,TRUTH,INTERSECT,0,0,0,0,0,0,llama
1.0,valence,BODY,VIDEO,168,48,26,22,0,264,qwen
1.0,valence,TRUTH,VIDEO,161,23,22,1,0,207,qwen
1.0,valence,BODY,AUDIO,161,59,33,6,5,264,qwen
1.0,valence,TRUTH,AUDIO,155,22,28,2,0,207,qwen
1.0,valence,BODY,INTERSECT,0,0,0,0,0,0,qwen
1.0,valence,TRUTH,INTERSECT,0,0,0,0,0,0,qwen
1.0,valence,BODY,VIDEO,206,18,21,29,0,274,llama4
1.0,valence,TRUTH,VIDEO,191,8,14,3,0,216,llama4
1.0,valence,BODY,AUDIO,192,34,35,5,8,274,llama4
1.0,valence,TRUTH,AUDIO,176,10,29,1,0,216,llama4
1.0,valence,BODY,INTERSECT,0,0,0,0,0,0,llama4
1.0,valence,TRUTH,INTERSECT,0,0,0,0,0,0,llama4
1.0,arousal,SELF,VIDEO,138,136,0,0,0,274,
1.0,arousal,SELF,AUDIO,200,74,0,0,0,274,
1.0,arousal,BODY,VIDEO,129,9,84,52,0,274,llama
1.0,arousal,TRUTH,VIDEO,117,5,56,3,0,181,llama
1.0,arousal,BODY,AUDIO,150,50,63,6,5,274,llama
1.0,arousal,TRUTH,AUDIO,117,8,56,0,0,181,llama
1.0,arousal,BODY,INTERSECT,3,1,1,1,0,6,llama
1.0,arousal,TRUTH,INTERSECT,3,1,1,0,0,5,llama
1.0,arousal,BODY,VIDEO,92,40,119,12,1,264,qwen
1.0,arousal,TRUTH,VIDEO,86,16,102,2,0,206,qwen
1.0,arousal,BODY,AUDIO,150,42,61,8,3,264,qwen
1.0,arousal,TRUTH,AUDIO,132,13,56,4,1,206,qwen
1.0,arousal,BODY,INTERSECT,2,2,1,0,1,6,qwen
1.0,arousal,TRUTH,INTERSECT,2,0,1,0,0,3,qwen
1.0,arousal,BODY,VIDEO,125,13,94,41,1,274,llama4
1.0,arousal,TRUTH,VIDEO,114,6,63,5,0,188,llama4
1.0,arousal,BODY,AUDIO,155,45,64,7,3,274,llama4
1.0,arousal,TRUTH,AUDIO,119,9,58,1,1,188,llama4
1.0,arousal,BODY,INTERSECT,3,1,1,1,0,6,llama4
1.0,arousal,TRUTH,INTERSECT,3,0,1,0,0,4,llama4
