clip_id,Nishant,avg_inferred_valence
TheBlindSide_000,3.0,3.0
TheBlindSide_001,3.0,3.0
TheBlindSide_002,3.0,3.0
TheBlindSide_003,3.0,3.0
TheBlindSide_004,3.0,3.0
TheBlindSide_005,3.0,3.0
TheBlindSide_006,3.0,3.0
TheBlindSide_007,3.0,3.0
TheBlindSide_008,3.0,3.0
TheBlindSide_009,3.0,3.0
TheBlindSide_010,3.0,3.0
TheBlindSide_011,3.0,3.0
TheBlindSide_012,3.0,3.0
TheBlindSide_013,3.0,3.0
TheBlindSide_014,3.0,3.0
TheBlindSide_015,3.0,3.0
TheBlindSide_016,3.0,3.0
TheBlindSide_017,3.0,3.0
TheBlindSide_018,3.0,3.0
TheBlindSide_019,3.0,3.0
TheBlindSide_020,3.0,3.0
TheBlindSide_021,3.0,3.0
TheBlindSide_022,3.0,3.0
TheBlindSide_024,3.0,3.0
TheBlindSide_025,3.0,3.0
TheBlindSide_027,3.0,3.0
TheBlindSide_028,3.0,3.0
TheBlindSide_029,3.0,3.0
TheBlindSide_031,3.0,3.0
TheBlindSide_032,3.0,3.0
TheBlindSide_033,3.0,3.0
TheBlindSide_034,3.0,3.0
TheBlindSide_035,3.0,3.0
TheBlindSide_036,3.0,3.0
TheBlindSide_037,3.0,3.0
TheBlindSide_038,3.0,3.0
TheBlindSide_039,3.0,3.0
TheBlindSide_040,3.0,3.0
TheBlindSide_041,3.0,3.0
TheBlindSide_042,3.0,3.0
TheBlindSide_043,3.0,3.0
TheBlindSide_044,3.0,3.0
TheBlindSide_045,3.0,3.0
TheBlindSide_046,3.0,3.0
TheBlindSide_049,3.0,3.0
TheBlindSide_050,3.0,3.0
TheBlindSide_052,3.0,3.0
TheBlindSide_053,3.0,3.0
TheBlindSide_054,3.0,3.0
TheBlindSide_055,3.0,3.0
TheBlindSide_056,3.0,3.0
TheBlindSide_057,3.0,3.0
TheBlindSide_058,3.0,3.0
TheBlindSide_059,3.0,3.0
TheBlindSide_060,3.0,3.0
TheBlindSide_061,3.0,3.0
TheBlindSide_062,3.0,3.0
TheBlindSide_063,3.0,3.0
TheBlindSide_064,3.0,3.0
TheBlindSide_065,3.0,3.0
TheBlindSide_066,3.0,3.0
TheBlindSide_067,3.0,3.0
TheBlindSide_068,3.0,3.0
TheBlindSide_069,3.0,3.0
TheBlindSide_071,3.0,3.0
TheBlindSide_072,3.0,3.0
TheBlindSide_073,3.0,3.0
TheBlindSide_075,3.0,3.0
TheBlindSide_076,3.0,3.0
TheBlindSide_077,3.0,3.0
TheBlindSide_078,3.0,3.0
TheBlindSide_079,3.0,3.0
TheBlindSide_080,3.0,3.0
TheBlindSide_081,3.0,3.0
TheBlindSide_082,3.0,3.0
TheBlindSide_083,3.0,3.0
TheBlindSide_084,3.0,3.0
TheBlindSide_085,3.0,3.0
TheBlindSide_086,3.0,3.0
TheBlindSide_087,3.0,3.0
TheBlindSide_088,3.0,3.0
TheBlindSide_089,3.0,3.0
TheBlindSide_091,3.0,3.0
TheBlindSide_092,3.0,3.0
TheBlindSide_093,3.0,3.0
TheFaultInOurStars_000,3.0,3.0
TheFaultInOurStars_001,3.0,3.0
TheFaultInOurStars_002,3.0,3.0
TheFaultInOurStars_003,3.0,3.0
TheFaultInOurStars_004,3.0,3.0
TheFaultInOurStars_005,3.0,3.0
TheFaultInOurStars_006,3.0,3.0
TheFaultInOurStars_007,3.0,3.0
TheFaultInOurStars_008,3.0,3.0
TheFaultInOurStars_009,3.0,3.0
TheFaultInOurStars_010,3.0,3.0
TheFaultInOurStars_011,3.0,3.0
TheFaultInOurStars_012,3.0,3.0
TheFaultInOurStars_013,3.0,3.0
TheFaultInOurStars_014,3.0,3.0
TheFaultInOurStars_015,3.0,3.0
TheFaultInOurStars_016,3.0,3.0
TheFaultInOurStars_017,3.0,3.0
TheFaultInOurStars_018,3.0,3.0
TheFaultInOurStars_019,3.0,3.0
TheFaultInOurStars_020,3.0,3.0
TheFaultInOurStars_021,3.0,3.0
TheFaultInOurStars_022,3.0,3.0
TheFaultInOurStars_023,3.0,3.0
TheFaultInOurStars_024,3.0,3.0
TheFaultInOurStars_025,3.0,3.0
TheFaultInOurStars_026,3.0,3.0
TheFaultInOurStars_027,3.0,3.0
TheFaultInOurStars_028,3.0,3.0
TheFaultInOurStars_029,3.0,3.0
TheFaultInOurStars_030,3.0,3.0
TheFaultInOurStars_031,3.0,3.0
TheFaultInOurStars_032,3.0,3.0
TheFaultInOurStars_033,3.0,3.0
TheFaultInOurStars_034,3.0,3.0
TheFaultInOurStars_035,3.0,3.0
TheFaultInOurStars_036,3.0,3.0
TheFaultInOurStars_037,3.0,3.0
TheFaultInOurStars_038,3.0,3.0
TheFaultInOurStars_039,3.0,3.0
TheFaultInOurStars_040,3.0,3.0
TheFaultInOurStars_041,3.0,3.0
TheFaultInOurStars_042,3.0,3.0
TheFaultInOurStars_043,3.0,3.0
TheFaultInOurStars_044,3.0,3.0
TheFaultInOurStars_045,3.0,3.0
TheFaultInOurStars_046,3.0,3.0
TheFaultInOurStars_048,3.0,3.0
TheFaultInOurStars_049,3.0,3.0
TheFaultInOurStars_050,3.0,3.0
TheFaultInOurStars_051,3.0,3.0
TheFaultInOurStars_052,3.0,3.0
TheFaultInOurStars_053,3.0,3.0
TheFaultInOurStars_054,3.0,3.0
TheFaultInOurStars_055,3.0,3.0
TheFaultInOurStars_056,3.0,3.0
TheFaultInOurStars_057,3.0,3.0
TheFaultInOurStars_058,3.0,3.0
TheFaultInOurStars_059,3.0,3.0
TheFaultInOurStars_060,3.0,3.0
TheFaultInOurStars_061,3.0,3.0
TheFaultInOurStars_062,3.0,3.0
TheFaultInOurStars_063,3.0,3.0
TheFaultInOurStars_064,3.0,3.0
TheFaultInOurStars_065,3.0,3.0
TheFaultInOurStars_066,3.0,3.0
TheFaultInOurStars_067,3.0,3.0
TheFaultInOurStars_068,3.0,3.0
TheFaultInOurStars_069,3.0,3.0
TheFaultInOurStars_070,3.0,3.0
TheFaultInOurStars_071,3.0,3.0
TheFaultInOurStars_072,3.0,3.0
TheFaultInOurStars_073,3.0,3.0
TheFaultInOurStars_074,3.0,3.0
TheFaultInOurStars_075,3.0,3.0
TheFaultInOurStars_076,3.0,3.0
TheFaultInOurStars_077,3.0,3.0
TheSpectacularNow_023,3.0,3.0
TheSpectacularNow_068,3.0,3.0
TheTheoryOfEverything_001,3.0,3.0
TheTheoryOfEverything_003,3.0,3.0
TheTheoryOfEverything_005,3.0,3.0
TheTheoryOfEverything_009,3.0,3.0
TheTheoryOfEverything_012,3.0,3.0
TheTheoryOfEverything_016,3.0,3.0
TheTheoryOfEverything_018,3.0,3.0
TheTheoryOfEverything_021,3.0,3.0
TheTheoryOfEverything_022,3.0,3.0
TheTheoryOfEverything_026,3.0,3.0
TheTheoryOfEverything_030,3.0,3.0
TheTheoryOfEverything_031,3.0,3.0
TheTheoryOfEverything_034,3.0,3.0
TheTheoryOfEverything_037,3.0,3.0
TheTheoryOfEverything_038,3.0,3.0
TheTheoryOfEverything_039,3.0,3.0
TheTheoryOfEverything_040,3.0,3.0
TheTheoryOfEverything_041,3.0,3.0
TheTheoryOfEverything_042,3.0,3.0
TheTheoryOfEverything_043,3.0,3.0
TheTheoryOfEverything_048,3.0,3.0
TheTheoryOfEverything_051,3.0,3.0
TheTheoryOfEverything_054,3.0,3.0
TheTheoryOfEverything_057,3.0,3.0
Wonder_120,3.0,3.0
