clip_id,Nishant,avg_inferred_arousal
TheBlindSide_055,2.0,2.0
TheBlindSide_056,4.0,4.0
TheBlindSide_057,2.0,2.0
TheBlindSide_058,2.0,2.0
TheBlindSide_059,2.0,2.0
TheBlindSide_060,3.0,3.0
TheBlindSide_061,3.0,3.0
TheBlindSide_062,2.0,2.0
TheBlindSide_063,3.0,3.0
TheBlindSide_064,2.0,2.0
TheBlindSide_065,2.0,2.0
TheBlindSide_066,2.0,2.0
TheBlindSide_067,4.0,4.0
TheBlindSide_068,4.0,4.0
TheBlindSide_069,2.0,2.0
TheBlindSide_071,3.0,3.0
TheBlindSide_072,3.0,3.0
TheBlindSide_073,2.0,2.0
TheBlindSide_075,3.0,3.0
TheBlindSide_076,4.0,4.0
TheBlindSide_077,3.0,3.0
TheBlindSide_078,4.0,4.0
TheBlindSide_079,4.0,4.0
TheBlindSide_080,3.0,3.0
TheBlindSide_081,2.0,2.0
TheBlindSide_082,3.0,3.0
TheBlindSide_083,2.0,2.0
TheBlindSide_084,4.0,4.0
TheBlindSide_085,3.0,3.0
TheBlindSide_086,3.0,3.0
TheBlindSide_087,2.0,2.0
TheBlindSide_088,2.0,2.0
TheBlindSide_089,4.0,4.0
TheBlindSide_091,2.0,2.0
TheBlindSide_092,4.0,4.0
TheBlindSide_093,4.0,4.0
TheFaultInOurStars_000,3.0,3.0
TheFaultInOurStars_001,4.0,4.0
TheFaultInOurStars_002,4.0,4.0
TheFaultInOurStars_003,4.0,4.0
TheFaultInOurStars_004,2.0,2.0
TheFaultInOurStars_005,4.0,4.0
TheFaultInOurStars_006,2.0,2.0
TheFaultInOurStars_007,2.0,2.0
TheFaultInOurStars_008,3.0,3.0
TheFaultInOurStars_009,4.0,4.0
TheFaultInOurStars_010,2.0,2.0
TheFaultInOurStars_011,2.0,2.0
TheFaultInOurStars_012,3.0,3.0
TheFaultInOurStars_013,2.0,2.0
TheFaultInOurStars_014,4.0,4.0
TheFaultInOurStars_015,2.0,2.0
TheFaultInOurStars_016,4.0,4.0
TheFaultInOurStars_017,3.0,3.0
TheFaultInOurStars_018,2.0,2.0
TheFaultInOurStars_019,2.0,2.0
TheFaultInOurStars_020,2.0,2.0
TheFaultInOurStars_021,4.0,4.0
TheFaultInOurStars_022,2.0,2.0
TheFaultInOurStars_023,4.0,4.0
TheFaultInOurStars_024,2.0,2.0
TheFaultInOurStars_025,3.0,3.0
TheFaultInOurStars_026,4.0,4.0
TheFaultInOurStars_027,4.0,4.0
TheFaultInOurStars_028,4.0,4.0
TheFaultInOurStars_029,4.0,4.0
TheFaultInOurStars_030,2.0,2.0
TheFaultInOurStars_031,3.0,3.0
TheFaultInOurStars_032,2.0,2.0
TheFaultInOurStars_033,4.0,4.0
TheFaultInOurStars_034,4.0,4.0
TheFaultInOurStars_035,4.0,4.0
TheFaultInOurStars_036,2.0,2.0
TheFaultInOurStars_037,4.0,4.0
TheFaultInOurStars_038,2.0,2.0
TheFaultInOurStars_039,4.0,4.0
TheFaultInOurStars_040,3.0,3.0
TheFaultInOurStars_041,4.0,4.0
TheFaultInOurStars_042,2.0,2.0
TheFaultInOurStars_043,2.0,2.0
TheFaultInOurStars_044,4.0,4.0
TheFaultInOurStars_045,3.0,3.0
TheFaultInOurStars_046,3.0,3.0
TheFaultInOurStars_048,2.0,2.0
TheFaultInOurStars_049,3.0,3.0
TheFaultInOurStars_050,3.0,3.0
TheFaultInOurStars_051,4.0,4.0
TheFaultInOurStars_052,4.0,4.0
TheFaultInOurStars_053,3.0,3.0
TheFaultInOurStars_054,3.0,3.0
TheFaultInOurStars_055,4.0,4.0
TheFaultInOurStars_056,2.0,2.0
TheFaultInOurStars_057,2.0,2.0
TheFaultInOurStars_058,3.0,3.0
TheFaultInOurStars_059,4.0,4.0
TheFaultInOurStars_060,3.0,3.0
TheFaultInOurStars_061,2.0,2.0
TheFaultInOurStars_062,4.0,4.0
TheFaultInOurStars_063,3.0,3.0
TheFaultInOurStars_064,3.0,3.0
TheFaultInOurStars_065,4.0,4.0
TheFaultInOurStars_066,3.0,3.0
TheFaultInOurStars_067,2.0,2.0
TheFaultInOurStars_068,2.0,2.0
TheFaultInOurStars_069,3.0,3.0
TheFaultInOurStars_070,2.0,2.0
TheFaultInOurStars_071,2.0,2.0
TheFaultInOurStars_072,4.0,4.0
TheFaultInOurStars_073,2.0,2.0
TheFaultInOurStars_074,2.0,2.0
TheFaultInOurStars_075,2.0,2.0
TheFaultInOurStars_076,2.0,2.0
TheFaultInOurStars_077,4.0,4.0
TheSpectacularNow_023,3.0,3.0
TheSpectacularNow_068,4.0,4.0
TheTheoryOfEverything_001,4.0,4.0
TheTheoryOfEverything_003,4.0,4.0
TheTheoryOfEverything_005,4.0,4.0
TheTheoryOfEverything_009,4.0,4.0
TheTheoryOfEverything_012,2.0,2.0
TheTheoryOfEverything_016,2.0,2.0
TheTheoryOfEverything_018,3.0,3.0
TheTheoryOfEverything_021,2.0,2.0
TheTheoryOfEverything_022,2.0,2.0
TheTheoryOfEverything_026,3.0,3.0
TheTheoryOfEverything_030,3.0,3.0
TheTheoryOfEverything_031,4.0,4.0
TheTheoryOfEverything_034,2.0,2.0
TheTheoryOfEverything_037,4.0,4.0
TheTheoryOfEverything_038,4.0,4.0
TheTheoryOfEverything_039,2.0,2.0
TheTheoryOfEverything_040,4.0,4.0
TheTheoryOfEverything_041,4.0,4.0
TheTheoryOfEverything_042,3.0,3.0
TheTheoryOfEverything_043,2.0,2.0
TheTheoryOfEverything_048,2.0,2.0
TheTheoryOfEverything_051,2.0,2.0
TheTheoryOfEverything_054,2.0,2.0
TheTheoryOfEverything_057,2.0,2.0
Wonder_120,3.0,3.0
