user_id,true_session,block_type,clip1_title,clip1_E_quad,clip2_title,clip2_E_quad,E_val,E_aro,P_val,P_aro,I1_val,I1_aro,I2_val,I2_aro,phys_hr_mean,phys_eda_mean,transition_type,B3_n_B6,B3_n_B6_quad,closer_I2
4,10,Hyp9_Transition_Block,TheFaultInOurStars_003.mp4,Q1,TheFaultInOurStars_033.mp4,Q4,3.36,2.52,5,2,1,2,5.0,1.0,71.0,0.09,Soft,False,True,True
4,22,Drift_Block,TheBlindSide_003.mp4,Q3,TheBlindSide_009.mp4,Q4,3.36,2.76,3,3,3,3,5.0,1.0,63.0,0.09,Soft,False,False,False
4,16,Drift_Block,TheFaultInOurStars_045.mp4,Q3,AboutTime_000.mp4,Q4,3.88,1.48,4,4,4,3,,,,,Soft,False,False,False
5,1,Drift_Block,TheFaultInOurStars_045.mp4,Q3,Gifted_041.mp4,Q4,3.76,2.24,4,3,4,3,4.0,2.0,83.5,0.035,Soft,False,False,True
5,1,Hyp9_Transition_Block,Gifted_045.mp4,Q3,TheFaultInOurStars_033.mp4,Q4,3.36,2.52,4,1,4,1,4.0,1.0,88.0,0.035,Soft,False,False,False
6,1,Drift_Block,LadyBird_003.mp4,Q2,TheBlindSide_009.mp4,Q4,3.36,2.76,4,2,3,4,4.0,2.0,61.0,1.39,Hard,False,False,True
6,1,Hyp9_Transition_Block,LadyBird_019.mp4,Q1,TheTheoryOfEverything_040.mp4,Q4,3.36,2.76,4,4,3,3,4.0,2.0,56.0,1.15,Soft,False,False,False
7,21,Drift_Block,TheBlindSide_003.mp4,Q3,TheFaultInOurStars_000.mp4,Q4,3.76,2.76,5,4,5,4,,,,,Soft,False,False,False
7,16,Drift_Block,LadyBird_001.mp4,Q3,TheFaultInOurStars_000.mp4,Q4,3.76,2.76,4,4,4,4,,,,,Soft,False,False,False
7,46,Hyp9_Transition_Block,TheFaultInOurStars_006.mp4,Q2,LadyBird_056.mp4,Q1,3.48,3.24,3,2,3,2,,,,,Soft,False,False,False
7,26,Drift_Block,TheBlindSide_003.mp4,Q3,TheBlindSide_009.mp4,Q4,3.36,2.76,1,2,3,2,,,,,Soft,False,False,False
8,1,Hyp9_Maintenance_Block,TheFaultInOurStars_033.mp4,Q4,LadyBird_056.mp4,Q1,3.48,3.24,3,3,3,3,,,,,Soft,False,False,False
8,1,Drift_Block,TheBlindSide_001.mp4,Q2,Gifted_041.mp4,Q4,3.76,2.24,3,3,3,3,,,,,Hard,False,False,False
9,15,Hyp9_Maintenance_Block,TheTheoryOfEverything_040.mp4,Q4,LadyBird_056.mp4,Q1,3.48,3.24,4,3,4,2,,,,,Soft,False,False,False
9,19,Drift_Block,LadyBird_001.mp4,Q3,AboutTime_000.mp4,Q4,3.88,1.48,4,3,4,3,,,,,Soft,False,False,False
9,23,Drift_Block,Gifted_045.mp4,Q3,LadyBird_017.mp4,Q4,3.36,2.24,3,5,3,4,,,,,Soft,False,False,False
9,21,Drift_Block,Gifted_045.mp4,Q3,AboutTime_000.mp4,Q4,3.88,1.48,3,2,3,3,,,,,Soft,False,False,False
10,11,Drift_Block,Gifted_045.mp4,Q3,Gifted_041.mp4,Q4,3.76,2.24,2,3,4,3,,,,,Soft,False,False,False
10,15,Hyp9_Transition_Block,TheBlindSide_003.mp4,Q3,LadyBird_056.mp4,Q1,3.48,3.24,2,2,1,2,,,,,Hard,False,False,False
10,3,Drift_Block,LadyBird_003.mp4,Q2,TheFaultInOurStars_000.mp4,Q4,3.76,2.76,4,4,4,3,,,,,Hard,False,False,False
11,22,Drift_Block,Gifted_045.mp4,Q3,Gifted_041.mp4,Q4,3.76,2.24,3,3,3,3,1.0,5.0,94.0,0.01,Soft,False,False,False
11,4,Drift_Block,TheFaultInOurStars_006.mp4,Q2,TheBlindSide_009.mp4,Q4,3.36,2.76,3,3,3,3,1.0,5.0,182.0,0.25,Hard,False,False,False
11,16,Hyp9_Transition_Block,TheBlindSide_001.mp4,Q2,LadyBird_056.mp4,Q1,3.48,3.24,4,3,5,3,1.0,5.0,179.0,0.24,Soft,False,False,False
12,29,Hyp9_Transition_Block,TheBlindSide_001.mp4,Q2,LadyBird_056.mp4,Q1,3.48,3.24,4,2,3,3,,,,,Soft,False,False,False
12,37,Drift_Block,TheBlindSide_003.mp4,Q3,LadyBird_017.mp4,Q4,3.36,2.24,4,3,3,3,,,,,Soft,False,False,False
12,21,Drift_Block,Gifted_045.mp4,Q3,Gifted_041.mp4,Q4,3.76,2.24,3,1,4,1,,,,,Soft,False,False,False
13,2,Hyp9_Transition_Block,TheFaultInOurStars_045.mp4,Q3,TheTheoryOfEverything_040.mp4,Q4,3.36,2.76,4,4,4,5,,,,,Soft,False,False,False
13,8,Drift_Block,TheFaultInOurStars_006.mp4,Q2,LadyBird_017.mp4,Q4,3.36,2.24,4,4,3,4,,,,,Hard,False,False,False
14,5,Hyp9_Maintenance_Block,TheTheoryOfEverything_040.mp4,Q4,LadyBird_056.mp4,Q1,3.48,3.24,3,2,3,3,,,,,Soft,False,False,False
14,13,Drift_Block,TheFaultInOurStars_006.mp4,Q2,TheBlindSide_009.mp4,Q4,3.36,2.76,4,4,4,4,,,,,Hard,False,False,False
14,17,Drift_Block,Gifted_045.mp4,Q3,TheBlindSide_009.mp4,Q4,3.36,2.76,3,3,3,3,,,,,Soft,False,False,False
14,21,Drift_Block,Gifted_045.mp4,Q3,Gifted_041.mp4,Q4,3.76,2.24,3,3,3,3,,,,,Soft,False,False,False
15,49,Hyp9_Transition_Block,TheBlindSide_001.mp4,Q2,TheTheoryOfEverything_040.mp4,Q4,3.36,2.76,4,2,4,2,,,,,Hard,False,False,False
15,33,Drift_Block,TheBlindSide_003.mp4,Q3,TheFaultInOurStars_000.mp4,Q4,3.76,2.76,4,3,4,5,,,,,Soft,False,False,False
15,16,Drift_Block,Gifted_045.mp4,Q3,TheBlindSide_009.mp4,Q4,3.36,2.76,3,1,2,1,,,,,Soft,False,False,False
