Threshold,Dimension,Source,Modality,Model,Match,Feel,Drift,NoMatch,Total
0.75,arousal,BODY,AUDIO,qwen,108,66,47,43,264
0.75,arousal,BODY,INTERSECT,qwen,18,43,29,17,264
0.75,arousal,BODY,VIDEO,llama4,74,96,26,78,274
0.75,arousal,BODY,AUDIO,llama4,92,78,69,35,274
0.75,arousal,BODY,INTERSECT,llama4,35,39,16,25,274
1.0,valence,SELF,VIDEO,N/A,224,50,0,0,274
1.0,valence,SELF,AUDIO,N/A,226,48,0,0,274
1.0,valence,SELF,INTERSECT,N/A,192,16,0,0,274
1.0,valence,BODY,VIDEO,llama,168,35,56,15,274
1.0,valence,BODY,AUDIO,llama,165,38,61,10,274
1.0,valence,BODY,INTERSECT,llama,142,12,50,4,274
1.0,valence,BODY,VIDEO,qwen,168,26,48,22,264
1.0,valence,BODY,AUDIO,qwen,161,33,59,11,264
1.0,valence,BODY,INTERSECT,qwen,143,8,44,7,264
1.0,valence,BODY,VIDEO,llama4,206,21,18,29,274
1.0,valence,BODY,AUDIO,llama4,192,35,34,13,274
1.0,valence,BODY,INTERSECT,llama4,175,4,17,12,274
1.0,arousal,SELF,VIDEO,N/A,138,136,0,0,274
1.0,arousal,SELF,AUDIO,N/A,200,74,0,0,274
1.0,arousal,SELF,INTERSECT,N/A,100,36,0,0,274
1.0,arousal,BODY,VIDEO,llama,129,84,9,52,274
1.0,arousal,BODY,AUDIO,llama,150,63,50,11,274
1.0,arousal,BODY,INTERSECT,llama,92,26,8,10,274
1.0,arousal,BODY,VIDEO,qwen,92,119,40,13,264
1.0,arousal,BODY,AUDIO,qwen,150,61,42,11,264
1.0,arousal,BODY,INTERSECT,qwen,62,31,33,4,264
1.0,arousal,BODY,VIDEO,llama4,125,94,13,42,274
1.0,arousal,BODY,AUDIO,llama4,155,64,45,10,274
1.0,arousal,BODY,INTERSECT,llama4,89,28,11,8,274
